sensor_index,time_stamp,pm2.5_alt_a,pm2.5_alt_b,temperature,humidity,pressure
166331,1681998600,1.80,2.30,64.4,29.8,1026.304
166331,1682017200,2.30,2.60,77.2,18,1021.92
166331,1682032200,3.00,3.40,74.2,17.6,1019.918
166331,1682005200,2.10,2.50,72.2,21.8,1024.886
166331,1681982400,1.80,2.40,48,46.4,1025.278
166331,1681975200,1.40,1.90,48.2,45.2,1024.806
166331,1681983600,1.80,2.30,48,47.2,1025.146
166331,1682011200,2.30,2.70,74.6,19.6,1022.766
166331,1682029200,2.80,3.40,77.6,15.4,1020.078
166331,1681992000,1.90,2.60,50.8,46,1026.21
166331,1682029800,3.00,3.20,77,15,1019.854
166331,1682002800,2.10,2.60,71.2,23.6,1025.52
166331,1681959000,2.40,3.10,47,48.4,1023.81
166331,1681966800,1.20,1.60,48,47.4,1024.106
166331,1681954200,5.50,6.10,48,46,1023.468
166331,1681992600,2.30,2.60,51.8,45,1026.238
166331,1682015400,2.20,2.60,76.4,17.8,1022.034
166331,1681949400,3.40,3.90,49,45.2,1022.656
166331,1681969200,2.20,2.50,48,45.8,1024.078
166331,1681983000,1.80,2.40,48,47,1025.162
166331,1681989600,33.00,36.60,49.2,47,1026.06
166331,1681948800,2.40,3.00,49,45.2,1022.486
166331,1682000400,1.80,2.20,69.2,24.4,1026.062
166331,1682084400,2.40,2.70,70.8,29,1019.626
166331,1682090400,2.50,2.90,83.2,19,1018.098
166331,1682040600,6.40,7.20,63,32.4,1020.966
166331,1682116200,4.60,4.80,84.4,20.4,1013.018
166331,1682043000,6.70,7.30,61,38,1021.358
166331,1682071800,1.20,1.60,54,42,1020.982
166331,1682109600,5.00,5.50,89,18.8,1012.696
166331,1682038200,6.50,7.40,65.2,30,1020.584
166331,1682074800,1.20,1.70,54.6,42,1020.416
166331,1682100000,5.20,5.90,86.8,21,1014.55
166331,1682067600,0.90,1.30,55,41.2,1020.814
166331,1682118000,4.60,4.90,81.6,23,1013.104
166331,1682092800,3.20,3.40,83.8,19.2,1017.138
166331,1682069400,7.30,7.70,54,41,1020.98
166331,1682115000,4.40,5.20,86,20,1012.65
166331,1682070000,39.20,42.40,54,41.2,1021.082
166331,1682058600,1.00,1.50,55,40.6,1021.37
166331,1682045400,2.60,3.20,60.2,38,1021.514
166331,1682052600,1.50,1.90,56.4,40.2,1021.366
166331,1682107200,5.40,5.90,90,19,1012.938
166331,1682080200,1.30,1.60,59.8,39,1020.02
166331,1682086200,2.30,2.90,77.2,24,1019.198
166331,1681944000,2.90,3.40,50,46,1021.612
166331,1681915800,2.70,3.40,50.75,48,1018.112
166331,1681923600,0.40,0.70,55.6,40.4,1018.724
166331,1681948200,2.80,3.50,49,45.8,1022.198
166331,1681938600,5.60,6.10,50.6,45.2,1020.552
166331,1681942200,3.00,3.70,50.4,46,1021.144
166331,1681908600,5.70,6.90,51,46,1016.808
166331,1681924800,0.70,0.90,56.6,37,1018.638
166331,1682131800,6.00,6.40,66,35,1015.698
166331,1682164200,3.70,4.40,62,52.8,1015.988
166331,1682160600,3.40,4.20,59.8,55.2,1016.126
166331,1682148000,3.70,4.20,61,51.4,1015.892
166331,1682162400,3.70,4.30,60.6,54,1016.068
166331,1682129400,2.90,3.30,67.2,35,1015.45
166331,1682122800,19.00,19.80,76,30.2,1013.898
166331,1682130600,20.80,21.10,66,35,1015.466
166331,1682139600,2.60,3.00,64,38.8,1016.684
166331,1682127600,4.30,4.80,69.2,34,1015.14
166331,1682144400,3.00,3.60,62,46.4,1016.258
166331,1682161800,3.30,4.10,60.2,54.2,1016.146
166331,1681961400,2.10,2.60,47,49,1024.024
166331,1681950600,4.70,5.90,49,45,1023.088
166331,1682026800,2.90,3.20,78,15.2,1020.114
166331,1681978800,1.80,2.40,49,46,1025.234
166331,1681996800,1.40,2.00,57,33.6,1026.386
166331,1682020800,2.30,2.80,79.4,16,1021.16
166331,1681979400,1.90,2.30,48.8,46,1025.274
166331,1682014800,2.20,2.40,76.2,18.6,1022.164
166331,1681995000,1.60,1.80,54.2,39,1026.324
166331,1681999800,1.70,2.50,67.4,25.4,1026.058
166331,1681951800,10.60,11.90,48.8,45.2,1023.17
166331,1681995600,1.50,2.00,55.6,38,1026.472
166331,1681988400,4.60,5.10,48.6,47.2,1026.034
166331,1681969800,1.90,2.40,48,45.8,1024.224
166331,1682014200,2.20,2.60,76,18.8,1022.184
166331,1682008800,2.20,2.50,74,20,1023.46
166331,1681964400,1.70,2.00,47,51,1023.89
166331,1681991400,1.90,2.40,50,46,1026.092
166331,1681981200,1.80,2.20,48.4,46,1025.426
166331,1682012400,2.20,2.80,75.8,20,1022.596
166331,1682008200,2.10,2.50,73.8,21,1023.628
166331,1682049600,2.00,2.40,58,39,1021.494
166331,1682058000,1.10,1.50,55.8,40,1021.212
166331,1682068200,0.90,1.20,54.6,41.6,1020.906
166331,1682061600,1.20,1.40,55,40.8,1021.48
166331,1682108400,5.20,5.50,89.2,18.6,1012.708
166331,1682036400,6.50,7.10,67,25.2,1020.18
166331,1682053200,1.40,1.90,56.6,41,1021.126
166331,1682070600,3.20,3.50,54,42,1020.962
166331,1682037600,5.70,6.20,66,28.6,1020.494
166331,1682104200,5.30,5.60,89.8,19.2,1013.612
166331,1682106600,5.50,5.70,90,19,1013.02
166331,1682086800,2.00,2.60,78,23,1019.028
166331,1682116800,4.60,4.70,84,21,1013.108
166331,1682087400,2.20,2.60,79.6,23,1019.014
166331,1682113200,4.40,4.60,86.2,19,1012.482
166331,1682053800,1.40,1.80,56.4,41,1021.124
166331,1682101800,5.60,5.90,88.4,20.8,1014.294
166331,1682041800,7.10,7.90,62.2,36.4,1021.116
166331,1682051400,1.70,2.10,57,40,1021.45
166331,1682089800,2.60,2.90,83.4,19,1018.218
166331,1682088600,2.00,2.50,82.6,20.6,1018.474
166331,1682076600,1.80,2.10,55.2,42.4,1020.388
166331,1682050200,1.70,2.30,58,39,1021.452
166331,1682071200,6.60,7.50,54,42,1021.02
166331,1681926600,0.50,0.60,54.25,37.25,1018.35
166331,1681947000,3.50,4.20,49,46,1021.972
166331,1681934400,1.20,1.60,52,42.4,1019.624
166331,1681927200,0.60,0.70,54,38,1018.928
166331,1681937400,1.30,1.70,52,45.4,1020.372
166331,1681914600,2.50,3.20,49.5,51.75,1018.277
166331,1681907400,3.40,4.00,50.8,47,1016.838
166331,1681933200,0.80,1.00,52,41.2,1019.388
166331,1681925400,0.60,0.90,55.6,37,1018.74
166331,1682155200,3.40,4.10,60,55.6,1016.082
166331,1682136000,2.30,2.80,65,34,1016.334
166331,1682121600,4.80,5.20,77,29,1013.648
166331,1682125200,3.80,4.10,72.8,32,1014.552
166331,1682157600,3.60,3.90,59,56,1016.114
166331,1682142000,2.90,3.90,63,43,1016.442
166331,1682143800,3.00,3.60,62.4,45,1016.332
166331,1682156400,3.40,4.10,59.8,56,1016.032
166331,1682163600,3.70,4.50,61.8,53,1016.09
166331,1682138400,2.50,2.90,64,36.4,1016.49
166331,1682155800,3.40,3.90,59.8,56,1016.126
166331,1682134200,2.50,2.90,64.8,34.2,1015.994
166331,1682134800,2.30,2.70,64.4,34.4,1016.166
166331,1682146800,3.60,4.40,62,49.8,1015.962
166331,1681981800,2.30,2.80,48,46,1025.338
166331,1681966200,1.40,1.80,48,48.8,1024.06
166331,1682013000,2.20,2.60,75.6,19.2,1022.466
166331,1682025600,2.80,3.20,77.8,15.4,1020.194
166331,1682031000,3.30,3.50,76,15.4,1019.872
166331,1682017800,2.10,2.60,77.8,17.4,1021.708
166331,1682032800,4.00,4.50,73.2,19,1019.84
166331,1681953000,2.60,2.80,48.8,46,1023.324
166331,1682010000,2.00,2.70,74.8,19.8,1022.91
166331,1681956000,2.50,3.10,48,46,1023.564
166331,1682028000,2.60,2.90,78,15,1020.262
166331,1682001000,2.00,2.40,68.8,23.2,1025.982
166331,1682011800,2.10,2.70,74.75,20,1022.69
166331,1682028600,2.70,3.40,77.4,15.4,1020.21
166331,1681980600,1.70,2.20,48.6,46,1025.198
166331,1681998000,1.70,2.40,60.4,31.8,1026.376
166331,1681993800,1.60,2.20,53,41.6,1026.308
166331,1682021400,2.50,2.80,78.8,15.8,1020.948
166331,1681987200,10.10,10.70,49,48,1025.692
166331,1682004600,2.20,2.50,71.4,22.6,1025.12
166331,1681972800,1.50,1.80,49,44.8,1024.47
166331,1681958400,1.70,2.00,47,47,1023.808
166331,1682034600,5.90,6.00,70,22.6,1019.842
166331,1681954800,2.10,2.60,47.8,46,1023.434
166331,1682002200,2.10,2.60,70.2,23.4,1025.672
166331,1681956600,1.80,2.40,48,46,1023.482
166331,1682025000,2.60,2.80,77.6,16,1020.356
166331,1682022600,2.50,2.80,77.6,16,1020.71
166331,1682079000,1.70,2.00,58.2,40.4,1020.508
166331,1682077200,1.90,2.50,56,41.8,1020.48
166331,1682096400,5.50,5.60,85.6,21,1015.458
166331,1682061000,0.90,1.40,54.8,40.6,1021.4
166331,1682073000,3.40,3.30,54,42.6,1020.784
166331,1682119800,4.90,5.40,78.8,26.8,1013.308
166331,1682041200,8.20,9.10,63,35.2,1021.102
166331,1682103600,5.70,6.20,89.6,19.2,1013.784
166331,1682077800,2.40,2.60,57,41.2,1020.452
166331,1682117400,4.80,5.30,83.4,22,1013.056
166331,1682062800,1.10,1.20,55,40.6,1021.256
166331,1682095800,5.20,5.70,86,20.4,1015.744
166331,1682089200,2.20,2.60,83.4,20,1018.34
166331,1682042400,6.30,6.90,62,37.2,1021.224
166331,1682047200,2.30,3.00,59,38,1021.406
166331,1682092200,3.10,3.60,83,19,1017.256
166331,1682114400,4.50,5.00,86,19.8,1012.548
166331,1682109000,5.10,5.60,89,18.8,1012.758
166331,1682104800,5.50,5.90,89.8,19,1013.44
166331,1682065200,0.90,1.20,55,41,1020.976
166331,1682037000,6.00,6.60,66.6,27,1020.314
166331,1681928400,0.60,0.80,53.25,39,1018.888
166331,1681936800,1.10,1.40,52,46,1020.152
166331,1681941600,2.70,3.20,50,46,1021.078
166331,1681929000,0.50,0.90,53.25,39.75,1018.962
166331,1681917600,1.10,1.30,50.5,51.25,1018.645
166331,1681908000,4.30,5.20,51,46,1016.812
166331,1681921200,0.70,1.00,51.5,44.75,1018.688
166331,1681917000,1.60,2.20,49.75,50.25,1018.157
166331,1682160000,3.40,4.20,59.4,56,1016.19
166331,1682133600,2.50,2.80,65,34.8,1015.938
166331,1682150400,3.50,4.00,61,53.2,1015.862
166331,1682126400,5.70,5.80,70.8,33,1014.848
166331,1682157000,3.30,3.90,59.2,56,1016
166331,1682018400,2.40,2.50,77.4,17,1021.526
166331,1681978200,1.70,2.30,48.6,45.6,1025.246
166331,1681972200,1.50,1.90,49,45.2,1024.52
166331,1682004000,2.10,2.70,71.2,22.8,1025.252
166331,1681965600,1.60,2.10,47.4,49.6,1023.932
166331,1681963200,1.90,2.50,46.8,50,1024.128
166331,1682019600,2.20,2.60,79,17,1021.296
166331,1682024400,2.70,3.20,77.6,16,1020.434
166331,1681974000,1.40,2.10,49,44,1024.692
166331,1681968600,1.70,2.10,48,45.2,1024.102
