id,time_stamp,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b,temperature,humidity,pressure
149970,1698325200,8.00,7.10,13.68,11.64,13.68,11.64,68,56.8,1024.428
149970,1698321000,6.70,6.10,11.88,9.72,11.88,9.72,65.4,58.6,1023.236
149970,1698363600,9.70,8.30,16.94,13.99,16.94,13.99,72.6,49,1020.61
149970,1698320400,6.30,6.00,11.27,9.63,11.27,9.63,66,58.4,1023.562
149970,1698450600,6.90,5.90,11.72,9.73,11.72,9.73,74.8,49,1014.924
149970,1698418200,7.40,6.80,12.53,11.06,12.53,11.06,73.2,47.6,1019.056
149970,1698411600,9.90,9.30,17.69,15.58,17.69,15.58,66.2,59,1019.718
149970,1698403800,11.10,10.70,20.11,17.86,20.11,17.86,66.8,59,1019.382
149970,1698381000,16.00,14.50,28.80,24.76,29.28,24.77,68.2,57.8,1020.426
149970,1698368400,8.40,7.90,14.91,13.63,14.91,13.63,71,52.2,1020.604
149970,1698373200,9.20,8.20,15.78,13.57,15.78,13.57,69.8,54.8,1020.34
149970,1698369000,9.10,8.20,16.04,13.79,16.04,13.79,70.8,52.8,1020.324
149970,1698351600,6.50,5.80,11.09,8.25,11.09,8.25,84.6,35.6,1020.862
149970,1698313800,6.60,6.00,11.71,10.08,11.71,10.08,65.8,57,1023.186
149970,1698327000,8.00,7.10,14.07,11.90,14.07,11.90,69.6,52,1024.376
149970,1698430200,4.90,4.20,7.98,5.56,7.98,5.56,88.8,32.4,1016.01
149970,1698417600,7.30,6.90,12.65,10.98,12.65,10.98,73,48,1019.204
149970,1698399000,10.10,9.30,17.46,15.23,17.46,15.23,66,60,1019.548
149970,1698358200,7.60,6.70,13.02,10.52,13.02,10.52,76.6,43,1020.648
149970,1698356400,8.10,7.20,13.84,11.63,13.84,11.63,79.4,40.4,1020.734
149970,1698328200,7.90,6.90,13.51,11.55,13.51,11.55,70.4,50.8,1024.4
149970,1698342000,6.20,5.00,10.20,7.67,10.20,7.67,83.6,31.8,1021.598
149970,1698336600,6.30,5.10,10.75,8.32,10.75,8.32,77,40.4,1022.732
149970,1698310800,5.50,5.10,9.06,8.14,9.06,8.14,66,56,1022.772
149970,1698336000,5.70,5.00,10.08,7.60,10.08,7.60,76,40.8,1022.804
149970,1698355200,7.10,5.80,12.52,9.25,12.52,9.25,81.4,38.2,1020.754
