id,time_stamp,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b,temperature,humidity,pressure
149970,1688514600,4.50,4.80,6.86,6.14,6.86,6.14,90.8,37.6,1013.6
149970,1688499600,8.10,9.20,12.87,11.68,12.87,11.68,101.4,34.2,1012.098
149970,1688506800,6.40,7.30,9.39,8.65,9.39,8.65,105,30.2,1011.886
149970,1688611800,21.80,24.40,34.65,33.40,38.21,37.30,87,54.6,1014.5
149970,1688636400,16.40,17.40,28.32,27.06,28.43,27.26,80,62,1014.822
149970,1688673600,13.20,15.20,20.94,19.57,20.94,19.57,107.2,27.2,1011.276
149970,1688631000,17.10,17.80,28.75,27.79,28.91,28.08,81.2,60.4,1015.132
149970,1688616600,19.60,21.10,31.54,29.93,33.09,31.55,85.4,57.4,1014.756
149970,1688634000,17.10,18.10,28.83,28.24,29.12,28.56,81,61,1014.918
149970,1688674200,14.00,15.70,21.85,19.73,21.85,19.73,105.4,29.8,1011.24
149970,1688680800,12.80,14.40,19.79,17.81,19.79,17.81,108.2,28.4,1010.68
149970,1688677800,14.60,16.10,22.84,20.17,23.14,20.31,108.6,29.4,1010.722
149970,1688678400,14.40,15.50,22.27,19.42,22.33,19.43,109.4,27.6,1010.77
149970,1688682000,12.80,14.60,20.29,18.47,20.29,18.47,107.6,30,1010.6
149970,1688675400,12.80,14.40,20.04,18.27,20.04,18.27,102.8,31.2,1011.014
149970,1688619000,18.80,20.40,30.89,29.35,32.03,30.63,84.8,57.6,1014.798
149970,1688657400,16.30,18.60,27.20,25.73,27.26,25.95,93.6,46.4,1013.922
149970,1688652600,18.60,20.30,30.20,28.01,31.02,28.89,90,51.2,1014.568
149970,1688685600,12.80,14.70,21.15,19.63,21.15,19.63,99.4,36,1010.542
149970,1688647200,19.30,21.50,31.16,30.18,32.44,32.00,86,57,1014.698
149970,1688667600,14.70,15.80,23.26,20.71,23.26,20.71,103,31.8,1012.248
149970,1688622600,17.90,19.30,29.97,28.97,30.57,29.41,83.8,58,1014.842
149970,1688608200,17.70,19.60,29.48,28.38,30.03,29.06,89,50.6,1014.796
149970,1688603400,17.70,20.20,29.28,27.23,29.75,27.96,93,46.8,1013.944
149970,1688641200,16.20,17.30,27.53,26.70,27.59,26.73,81.2,61,1014.85
149970,1688634600,16.50,17.90,28.19,27.75,28.42,28.05,80.6,61,1014.862
149970,1688580600,15.30,17.50,25.25,23.09,25.25,23.13,101,35,1015.116
149970,1688548800,9.80,10.80,16.24,16.77,16.24,16.77,75,64,1016.334
149970,1688518800,11.70,13.40,19.84,19.74,19.85,19.74,83.8,57,1014.886
149970,1688560200,10.40,11.40,17.40,17.00,17.40,17.00,80,61.4,1016.56
149970,1688584200,16.30,19.10,25.79,24.60,25.79,24.67,104.6,29.2,1014.628
149970,1688593200,15.10,17.00,23.34,21.83,23.35,21.86,105.6,29,1013.626
149970,1688538600,20.60,23.50,32.73,33.59,34.99,36.48,77,64,1015.92
149970,1688575200,14.50,16.30,24.43,22.27,24.43,22.27,94.8,42.8,1015.336
149970,1688527800,18.00,20.90,29.96,30.65,30.66,32.10,79.4,62,1014.986
149970,1688541000,14.60,16.40,24.71,25.29,24.71,25.29,76.6,64,1015.816
149970,1688553000,7.30,8.00,12.54,12.48,12.54,12.48,75,64,1016.442
149970,1688598000,14.10,16.80,23.73,22.48,23.73,22.49,96,41,1013.606
149970,1688581200,15.40,18.00,25.39,23.82,25.39,23.87,101.2,34,1015.132
149970,1688574600,14.20,16.30,24.08,22.58,24.08,22.61,93.8,43.2,1015.394
149970,1688577600,14.70,16.70,23.76,22.78,23.76,22.79,98,39,1015.284
149970,1688591400,15.60,17.60,24.61,22.15,24.66,22.18,108,25.6,1013.744
149970,1688583600,16.50,19.00,25.72,24.38,25.75,24.46,105,28.8,1014.706
149970,1688529000,15.60,18.00,26.22,27.84,26.26,27.97,79,62,1015.112
149970,1688535000,15.70,17.40,25.60,26.75,25.77,26.96,77,63.4,1015.57
149970,1688595000,14.40,16.90,24.10,22.41,24.10,22.41,100.4,35,1013.24
149970,1688570400,14.40,15.90,24.11,22.65,24.11,22.65,89,48.8,1016.36
149970,1688594400,14.60,16.60,23.27,21.90,23.27,21.93,102.2,33.2,1013.326
149970,1688523600,44.00,50.40,52.34,53.30,76.64,78.49,80.8,61,1014.694
149970,1688533200,14.30,16.30,24.45,25.82,24.47,25.90,78,63,1015.536
149970,1688551800,7.50,8.60,12.64,13.65,12.64,13.65,74.8,64,1016.414
149970,1688523000,59.00,69.30,68.03,70.57,103.16,107.34,81.4,61,1014.72
149970,1688566800,13.00,14.70,21.17,21.08,21.17,21.08,86,53,1016.508
149970,1688722200,8.70,9.30,14.65,13.37,14.65,13.37,83.2,52.8,1011.184
149970,1688711400,9.70,10.60,16.79,16.24,16.79,16.24,87,48,1011.062
149970,1688704800,12.00,13.40,19.97,19.54,19.97,19.54,89,47,1011.046
149970,1688730000,9.90,10.40,16.32,15.03,16.32,15.03,84.8,54,1011.818
149970,1688755200,6.50,6.80,10.63,9.24,10.63,9.24,88.6,51.2,1010.128
149970,1688744400,12.20,13.90,20.67,19.38,20.67,19.38,93.6,47.8,1010.74
149970,1688700600,13.10,14.50,22.16,20.85,22.16,20.85,90,47,1011.24
149970,1688716800,9.10,9.50,15.07,13.99,15.07,13.99,86,49,1011.154
149970,1688732400,10.50,10.70,17.20,15.85,17.20,15.85,85,55,1012.012
149970,1688742000,12.70,13.20,21.27,18.26,21.27,18.27,91,51,1010.952
149970,1688739000,11.60,12.40,19.76,16.96,19.76,16.96,89,52.6,1011.184
149970,1688692800,14.90,17.10,25.17,24.38,25.17,24.40,92,45.6,1011.062
149970,1688697000,15.60,16.60,26.66,23.93,26.83,24.05,90,47.8,1011.338
149970,1688721000,8.80,8.90,14.67,13.03,14.67,13.03,84,52,1011.242
149970,1688706000,12.00,13.40,20.15,19.16,20.15,19.16,89,47,1011.068
149970,1688753400,10.70,11.50,17.63,15.87,17.63,15.87,90.6,50.8,1010.188
149970,1688752200,12.50,13.80,20.65,19.46,20.65,19.46,91,51.6,1009.978
149970,1688715600,9.20,9.70,15.31,14.12,15.31,14.12,86,48,1011.136
149970,1688740200,13.90,15.60,23.16,21.98,23.34,22.06,90,51.2,1011.204
149970,1688721600,9.30,10.00,15.77,14.65,15.77,14.65,84,52.2,1011.232
149970,1688505600,6.60,7.60,10.03,9.05,10.03,9.05,104.8,30.4,1011.808
149970,1688499000,8.40,9.40,13.36,12.07,13.36,12.07,101,34.4,1012.116
149970,1688514000,4.60,5.00,6.97,6.41,6.97,6.41,91.6,36.8,1013.354
149970,1688508600,6.40,7.00,9.58,9.02,9.58,9.02,105.8,29.6,1012.018
149970,1688662800,15.00,17.50,24.69,23.26,24.70,23.29,100.2,36.4,1013.082
149970,1688632200,17.20,18.00,28.66,27.62,28.96,27.80,81,61,1015.058
149970,1688619600,18.10,19.50,30.56,28.90,31.46,29.84,84.6,57,1014.728
149970,1688660400,19.40,21.40,31.31,27.96,33.11,29.66,97,42.8,1013.6
149970,1688679000,16.10,19.10,23.84,22.06,25.45,23.95,109.8,27,1010.736
149970,1688687400,13.10,15.40,22.08,20.16,22.08,20.16,97.8,39.6,1011.03
149970,1688618400,19.10,20.70,31.77,29.97,33.44,31.62,85,58,1014.848
149970,1688602800,16.80,19.70,28.06,26.88,28.34,27.41,93,46,1013.876
149970,1688633400,16.80,18.60,29.10,28.58,29.50,28.95,80.8,61,1014.73
149970,1688664600,14.90,16.90,23.85,21.87,24.04,21.99,102,34.4,1012.654
149970,1688620200,18.40,19.20,30.31,28.64,31.14,29.22,84.6,57,1014.876
149970,1688655600,16.90,18.20,28.05,25.62,28.23,25.76,91.6,48.6,1014.37
149970,1688643000,16.90,18.80,28.25,28.26,28.41,28.67,82.2,61,1014.912
149970,1688658600,17.20,19.20,28.32,26.41,28.51,26.75,94.6,45,1013.864
149970,1688650200,19.00,20.30,30.73,28.90,31.76,29.99,88,54,1014.752
149970,1688638800,17.20,18.00,29.29,27.91,29.84,28.30,80,62,1014.972
149970,1688644800,18.40,20.20,30.65,29.75,31.63,30.72,84,59.6,1014.888
149970,1688637000,16.60,17.60,28.64,27.51,28.93,27.67,80,62,1014.86
149970,1688685000,12.20,14.70,19.68,19.30,19.68,19.30,100.6,35.6,1011.022
149970,1688641800,16.10,17.60,27.31,26.85,27.40,26.96,82,61,1014.96
149970,1688654400,17.60,19.50,29.39,26.86,29.89,27.32,91,49.2,1014.498
149970,1688673000,13.80,15.20,21.56,18.55,21.56,18.55,109.4,25.4,1011.452
149970,1688683800,12.70,15.00,20.88,19.49,20.88,19.49,102.6,35,1010.732
149970,1688646600,19.80,20.70,31.24,29.89,32.60,31.47,85,57.2,1014.702
149970,1688649600,19.10,21.00,30.83,29.82,31.95,31.32,87.6,54.4,1014.794
149970,1688564400,12.20,14.00,20.88,21.08,20.88,21.08,83.8,56.6,1016.338
149970,1688601000,16.00,18.20,26.97,25.07,27.04,25.17,94.8,44.8,1013.788
149970,1688515200,11.80,12.30,19.05,17.51,20.39,18.71,89.4,38,1013.612
149970,1688583000,15.70,17.60,25.18,22.68,25.19,22.68,105,30.8,1014.8
149970,1688552400,7.40,8.10,12.55,12.17,12.55,12.17,75,64,1016.374
149970,1688586600,16.50,18.60,26.63,23.85,26.72,23.95,107.4,27.8,1014.292
149970,1688567400,13.60,15.00,22.92,21.50,22.92,21.50,86,52.6,1016.464
149970,1688534400,17.80,20.80,28.86,30.94,30.02,32.84,77.8,63,1015.588
149970,1688556000,8.00,8.70,13.59,13.35,13.59,13.35,76.6,64,1016.53
149970,1688589600,16.00,18.60,24.87,22.90,24.88,22.99,110,25,1013.942
149970,1688542200,11.70,13.60,19.86,21.30,19.86,21.30,76,63.8,1015.732
149970,1688590800,15.70,17.80,24.57,22.19,24.57,22.19,108.2,24.8,1013.904
149970,1688599800,15.30,17.60,25.72,24.25,25.72,24.33,95.8,43,1013.47
149970,1688588400,16.20,18.70,25.81,23.57,25.85,23.72,109,25,1014.286
149970,1688596200,14.00,16.50,23.91,22.52,23.91,22.52,97.8,37.6,1013.472
149970,1688529600,14.20,16.60,24.84,25.83,24.84,25.84,78.6,62.2,1015.102
149970,1688539800,14.60,16.90,24.81,25.89,24.81,25.89,77,64,1015.856
149970,1688590200,15.80,18.60,25.31,23.30,25.32,23.45,109.8,24,1013.976
149970,1688539200,17.90,20.20,29.96,30.69,30.73,31.87,77,64,1015.86
149970,1688565000,12.50,13.90,21.18,20.59,21.18,20.59,84.5,55,1016.483
149970,1688749200,12.00,14.10,20.43,19.85,20.55,20.25,94,46.2,1009.854
149970,1688728800,9.40,9.20,15.76,13.79,15.76,13.79,84,54,1011.836
149970,1688736600,11.10,11.60,18.83,16.99,18.83,16.99,87.2,54,1011.464
149970,1688739600,12.20,13.20,20.26,18.35,20.28,18.37,89.8,52,1011.184
149970,1688737200,10.90,11.50,18.34,16.70,18.34,16.70,88.2,53.6,1011.396
149970,1688705400,11.70,13.00,19.88,18.43,19.88,18.43,89,47,1011.078
149970,1688708400,11.50,12.20,19.50,17.47,19.50,17.47,88,47,1011.074
149970,1688749800,12.90,14.90,22.41,21.43,22.47,21.52,93,48.2,1009.808
149970,1688722800,8.30,8.70,14.34,12.61,14.34,12.61,83,53.2,1011.436
149970,1688691000,14.30,16.00,24.52,22.78,24.52,22.81,93.6,44,1010.91
149970,1688695800,15.90,17.30,26.82,25.41,27.01,25.51,91,47,1011.334
149970,1688694000,16.20,18.00,27.32,25.42,27.44,25.72,91.4,46,1011.194
149970,1688714400,9.20,10.00,15.16,14.87,15.16,14.87,86,48,1011.046
149970,1688699400,15.60,17.10,26.57,25.06,26.67,25.23,90,48,1011.356
149970,1688742600,12.30,13.20,20.71,18.32,20.71,18.32,91.8,50.2,1010.732
149970,1688727000,8.90,9.40,15.12,13.89,15.12,13.89,83,55,1011.76
149970,1688717400,8.70,9.20,14.59,13.70,14.59,13.70,85.6,49.4,1011.162
149970,1688736000,11.10,11.50,18.55,17.02,18.55,17.02,87,54.6,1011.596
149970,1688737800,11.30,12.00,19.29,17.12,19.34,17.12,88.4,53,1011.114
149970,1688702400,12.00,13.00,19.78,19.24,19.78,19.24,89.2,46.8,1010.704
149970,1688707800,10.50,11.60,17.97,16.72,17.97,16.72,88,47,1011.01
149970,1688509800,6.70,7.20,10.35,8.88,10.35,8.88,103.2,33.2,1011.876
149970,1688505000,6.80,7.70,10.60,9.55,10.60,9.55,103.2,31,1011.834
149970,1688511600,7.10,7.80,10.98,9.67,10.98,9.67,98.4,39.2,1012.352
149970,1688510400,7.30,8.20,11.60,10.19,11.60,10.19,101.4,34.8,1012.046
149970,1688507400,6.60,7.40,9.50,8.58,9.50,8.58,105,29.8,1011.992
149970,1688502000,7.30,7.90,11.23,9.92,11.23,9.92,103,32.4,1011.896
