id,time_stamp,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b,temperature,humidity,pressure
149970,1674813600,3.10,2.60,4.70,3.78,4.70,3.78,39,53,1016.364
149970,1674826800,5.40,5.10,9.28,7.84,9.28,7.84,41,51,1019.358
149970,1674846600,5.10,4.60,8.75,6.83,8.75,6.83,48,39,1018.686
149970,1674841200,4.40,4.00,6.98,5.76,6.98,5.76,49,38.2,1018.56
149970,1674858000,5.10,4.70,8.44,7.00,8.44,7.00,45,45.6,1020.14
149970,1674792600,1.50,1.30,2.09,1.21,2.09,1.21,39,45,1013.39
149970,1674790200,1.70,1.40,2.49,1.46,2.49,1.46,39,46.6,1013.114
149970,1674826200,4.70,4.30,8.06,6.70,8.06,6.70,41,52,1019.336
149970,1674794400,1.50,1.50,2.06,1.54,2.06,1.54,40,45,1013.252
149970,1674858600,8.40,7.70,15.45,12.60,15.45,12.60,45,46.2,1020.23
149970,1674859200,5.60,4.90,9.47,8.13,9.47,8.13,44.2,47,1020.272
149970,1674822600,4.30,3.70,7.01,5.86,7.01,5.86,40,54,1018.25
149970,1674810000,2.40,2.00,3.61,2.61,3.61,2.61,39,50,1015.79
149970,1674798600,1.50,1.50,2.05,1.47,2.05,1.47,40,47,1013.732
149970,1674818400,3.20,2.80,5.32,4.06,5.32,4.06,39,54,1017.178
149970,1674843600,4.90,4.00,7.77,5.80,7.77,5.80,49,37,1018.548
149970,1674813000,2.90,2.30,4.45,3.18,4.45,3.18,39,52.2,1016.282
149970,1674841800,4.70,4.30,7.93,6.28,7.93,6.28,49.2,37.2,1018.532
149970,1674830400,7.10,6.80,12.32,10.51,12.32,10.51,42.8,47,1019.668
149970,1674851400,6.60,5.70,11.44,8.97,11.44,8.97,47,44,1019.616
149970,1674832200,6.00,5.70,10.36,8.68,10.36,8.68,44,43.8,1019.724
149970,1674788400,2.20,1.80,3.27,2.24,3.27,2.24,40,48,1012.318
149970,1674791400,1.40,1.40,1.84,1.49,1.84,1.49,38.6,45.6,1013.376
149970,1674852000,5.60,4.90,10.07,7.33,10.07,7.33,47,43.4,1019.702
149970,1674742200,8.10,7.40,13.66,11.56,13.66,11.56,45,62,997.938
149970,1674696600,2.70,2.40,3.98,2.99,3.98,2.99,43.6,57,1008.576
149970,1674730200,11.10,10.70,19.14,16.09,19.14,16.09,43,63,996.768
149970,1674732600,13.70,12.70,23.15,19.64,23.15,19.64,43,63,996.506
149970,1674768600,3.30,3.00,5.21,4.33,5.21,4.33,44,47.4,1005.742
149970,1674724200,4.20,4.10,7.30,5.73,7.30,5.73,43,63,997.41
149970,1674752400,1.70,1.60,2.36,1.76,2.41,1.78,49,45.2,998.942
149970,1674717600,5.30,4.70,8.83,6.96,8.83,6.96,43,64,998.938
149970,1674741600,8.80,8.10,15.09,12.59,15.09,12.59,44.8,62.4,997.794
149970,1674766200,3.40,2.90,5.39,3.79,5.39,3.79,44.8,47,1004.656
149970,1674774600,1.90,1.60,2.59,1.85,2.59,1.85,41,49,1008.272
149970,1674735000,14.60,13.70,24.86,20.82,24.96,20.82,44,63,996.86
149970,1674772200,2.40,2.10,3.77,2.96,3.77,2.96,42,49.8,1007.568
149970,1674743400,7.80,6.60,13.18,10.37,13.18,10.37,46,61.2,998.176
149970,1674704400,9.70,8.80,17.67,13.97,17.67,13.97,42,62.2,1005.128
149970,1674691200,5.30,4.80,9.15,7.07,9.15,7.07,42,57.2,1010.114
149970,1674765600,3.40,2.90,5.40,4.12,5.40,4.12,44.8,47.4,1004.582
149970,1674776400,1.80,1.60,2.56,1.87,2.56,1.87,40.6,48,1009.064
149970,1674770400,3.60,3.00,5.96,4.48,5.96,4.48,42.2,50,1006.664
149970,1674739800,8.60,8.10,15.25,12.69,15.25,12.69,44,63,997.536
149970,1674690600,5.40,4.90,9.42,7.72,9.42,7.72,43,57,1011.934
149970,1674688800,5.70,5.10,9.62,7.79,9.62,7.79,43,56.6,1013.224
149970,1674899400,7.60,6.80,13.88,11.00,13.88,11.00,42,41.8,1018.542
149970,1674939600,5.90,5.30,9.98,7.94,9.98,7.94,54,32,1023.822
149970,1674886200,8.30,8.00,14.46,12.81,14.46,12.81,40,48,1019.82
149970,1674942600,6.20,5.50,10.28,8.28,10.28,8.28,51.4,36.8,1024.352
149970,1674872400,7.40,6.80,13.68,10.91,13.68,10.91,41,52,1021.064
149970,1674918000,7.70,6.40,13.04,10.14,13.04,10.14,46,39.8,1021.846
149970,1674911400,7.20,6.20,13.09,10.23,13.09,10.23,43,41,1020.012
149970,1674943200,6.40,6.00,10.54,9.10,10.54,9.10,50.8,37.6,1024.36
149970,1674881400,8.50,8.00,15.09,12.94,15.09,12.94,40,52,1019.97
149970,1674919800,6.80,6.00,11.66,9.57,11.66,9.57,48,38.2,1021.592
149970,1674885000,8.50,8.20,15.16,13.04,15.16,13.04,40.8,48.8,1020.16
149970,1674903000,7.30,6.40,12.57,10.77,12.57,10.77,42,41,1018.502
149970,1674895200,7.40,7.00,12.72,11.12,12.72,11.12,41,43,1018.84
149970,1674937800,5.00,4.70,8.56,7.16,8.56,7.16,56.8,30,1023.418
149970,1674936000,2.90,2.60,4.55,3.37,4.55,3.37,58.8,26.6,1022.644
149970,1674931200,2.70,2.40,4.03,3.15,4.03,3.15,56,28,1021.836
149970,1674870000,5.90,5.40,10.25,8.28,10.25,8.28,41,51,1021.174
149970,1674884400,8.60,8.00,15.57,13.41,15.57,13.41,40.2,49,1019.966
149970,1674873600,7.60,7.30,13.17,11.43,13.17,11.43,41.4,51,1020.974
149970,1674933000,2.70,2.60,4.15,3.82,4.15,3.82,57,27,1022.208
149970,1674819000,3.80,3.40,6.31,5.16,6.31,5.16,39,54.6,1017.24
149970,1674856800,12.30,11.50,19.93,17.36,22.77,19.12,46,44.8,1019.962
149970,1674823200,4.70,4.00,8.00,5.98,8.00,5.98,40,54,1018.546
149970,1674823800,5.30,4.60,9.30,7.62,9.30,7.62,40,54,1018.814
149970,1674795000,1.30,1.20,1.76,0.98,1.76,0.98,40,44.2,1013.308
149970,1674808200,2.20,2.10,3.44,2.83,3.44,2.83,39,50.8,1015.626
149970,1674840600,9.70,8.70,15.32,12.21,18.53,14.66,48,39.2,1018.54
