id,time_stamp,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b,temperature,humidity,pressure
149970,1715016600,4.50,3.00,6.12,4.62,6.12,4.62,77.4,47.6,1014.79
149970,1715095800,2.50,1.10,2.54,0.98,2.54,0.98,75.6,31,1010.564
149970,1715089800,2.60,1.70,3.17,1.91,3.17,1.91,69,39,1011.646
149970,1715084400,2.90,1.80,3.67,2.25,3.67,2.25,62.8,48.6,1012.318
149970,1715098800,2.60,1.50,3.07,1.75,3.07,1.75,79,28.6,1009.8
149970,1715071200,3.70,2.50,5.23,3.22,5.23,3.22,58.6,55.8,1011.778
149970,1715062800,3.20,2.20,4.21,2.82,4.21,2.82,62.4,52,1011.982
149970,1715042400,3.90,2.40,5.46,3.46,5.46,3.46,73.8,47,1011.664
149970,1715041800,4.40,2.90,6.28,4.00,6.28,4.00,74.6,47.4,1011.594
149970,1715005800,4.30,2.40,6.28,3.11,6.28,3.11,65.2,56.4,1017.11
149970,1715116200,4.10,1.20,3.73,0.36,3.73,0.36,99,14.2,1005.272
149970,1715079000,2.60,1.40,3.07,1.16,3.07,1.16,57.2,57,1012.394
149970,1715047200,3.80,2.30,5.20,3.31,5.20,3.31,69.4,43.4,1012.104
149970,1714998000,3.10,1.80,3.58,2.18,3.58,2.18,64,57,1017.13
149970,1715027400,4.00,2.80,5.26,3.52,5.26,3.52,86,35,1011.984
149970,1715034600,5.20,3.00,6.89,4.24,6.89,4.24,84,37.4,1011.204
149970,1715113200,2.80,1.10,2.15,0.13,2.15,0.13,97,16,1005.64
149970,1715114400,3.10,1.20,2.52,0.36,2.52,0.36,98,15.2,1005.522
149970,1715049600,2.70,1.80,3.21,2.11,3.21,2.11,68,43.8,1011.954
149970,1715073600,3.10,1.90,3.73,2.12,3.73,2.12,58,56,1011.876
149970,1715040000,5.80,4.10,8.81,5.91,8.81,5.91,77.8,46.2,1011.442
149970,1715082000,2.50,1.60,3.04,1.72,3.04,1.72,59,56.8,1012.18
149970,1715074200,2.80,1.60,3.47,1.74,3.47,1.74,57.4,56.4,1011.888
149970,1715028000,4.00,2.60,5.55,3.35,5.55,3.35,86,34.8,1012.07
149970,1715022600,4.10,2.60,5.22,3.20,5.22,3.20,87,36.2,1013.298
149970,1715125800,2.70,1.70,2.88,1.01,2.88,1.01,84.2,17,1005.286
149970,1715049000,2.60,1.70,2.93,1.98,2.93,1.98,68.2,43.4,1011.936
149970,1715071800,3.60,2.30,5.00,2.77,5.00,2.77,58,56,1011.764
149970,1715097600,3.10,1.70,3.49,1.94,3.49,1.94,77.2,30.4,1009.636
149970,1715060400,3.30,1.90,3.89,2.10,3.89,2.10,64,50,1012.002
149970,1715067600,3.30,2.20,4.36,2.83,4.36,2.83,60,56,1011.458
149970,1715035800,4.80,2.90,6.33,3.78,6.33,3.78,83.4,39,1011.4
149970,1714994400,1.90,0.80,1.36,0.72,1.36,0.72,63,59.4,1017.162
149970,1715026200,4.00,2.80,5.18,3.62,5.18,3.62,87,34,1012.392
149970,1715092800,2.20,1.30,2.34,1.14,2.34,1.14,72.4,34.4,1010.896
149970,1715047800,3.50,2.10,4.33,2.53,4.33,2.53,69,43.4,1012.102
149970,1715100000,2.30,1.20,2.25,0.24,2.25,0.24,80.4,26.4,1009.484
149970,1715100600,2.30,1.20,2.05,0.28,2.05,0.28,81.8,26,1009.298
149970,1715061000,3.10,1.80,3.92,1.77,3.92,1.77,63.6,50,1011.914
149970,1715007000,4.20,2.30,5.73,3.00,5.73,3.00,65.6,58.6,1016.722
149970,1715002800,2.60,1.50,2.79,1.62,2.79,1.62,67,55,1017.046
149970,1714991400,1.80,0.80,1.53,0.63,1.53,0.63,62,61,1017.26
149970,1714999800,2.60,1.40,2.93,1.65,2.93,1.65,65,56.4,1017.098
149970,1715011200,3.70,2.10,4.89,2.81,4.89,2.81,69,56.6,1016.388
149970,1714996200,4.10,1.70,5.04,2.06,5.04,2.06,64,58,1017.304
149970,1714983600,1.50,0.50,0.95,0.08,0.95,0.08,61,60.4,1017.714
149970,1714997400,4.00,1.70,4.54,1.82,4.54,1.82,64,58,1017.218
149970,1715123400,2.20,1.00,1.99,0.26,1.99,0.26,87.8,15,1005.248
149970,1715116800,3.90,0.90,3.16,0.10,3.16,0.10,99,13.4,1005.174
149970,1715105400,3.70,2.70,4.51,2.98,4.51,2.98,89,22,1008.032
149970,1715107800,2.90,1.60,3.07,0.86,3.07,0.86,91.4,20,1007.118
149970,1715080800,2.50,1.40,2.74,1.36,2.74,1.36,58,57,1012.252
149970,1715068200,3.50,2.20,4.77,3.00,4.77,3.00,59.2,55.4,1011.316
149970,1715040600,4.20,3.00,6.08,4.16,6.08,4.16,76.4,47.4,1011.5
149970,1715018400,4.40,2.90,6.05,4.09,6.05,4.09,79.8,45,1014.344
149970,1715004600,4.50,2.70,6.43,3.82,6.43,3.82,65.4,55.8,1017.24
149970,1715037000,4.40,2.90,6.09,4.24,6.09,4.24,82,40.8,1011.292
149970,1715085000,3.70,2.80,4.96,3.94,4.96,3.94,63.4,47.4,1012.112
149970,1715043000,4.60,2.80,6.39,3.99,6.39,3.99,73,45.2,1011.714
149970,1715074800,2.60,1.50,3.03,1.70,3.03,1.70,57,57,1011.962
149970,1715004000,3.70,2.00,4.62,2.74,4.62,2.74,66,55,1017.076
149970,1715109000,2.60,1.40,2.36,0.52,2.36,0.52,92.8,19,1006.652
149970,1715121600,2.20,0.90,1.79,0.10,1.79,0.10,91,13.2,1005.13
149970,1715066400,4.10,2.60,5.59,3.50,5.59,3.50,60,54.8,1011.572
149970,1715101800,2.40,1.20,2.27,0.38,2.27,0.38,83.4,24.4,1008.926
149970,1715086200,3.30,2.30,4.31,2.93,4.31,2.93,65.2,45.2,1012.232
149970,1715025000,3.70,2.60,4.62,3.39,4.62,3.39,88.4,33,1012.572
149970,1715012400,4.90,2.10,6.26,2.74,6.26,2.74,70,55,1016.044
149970,1714992000,1.60,0.80,1.07,0.61,1.07,0.61,62,60.2,1017.246
149970,1715003400,3.10,1.60,3.87,1.83,3.87,1.83,66,55,1016.868
149970,1715104200,3.10,1.70,3.39,1.17,3.39,1.17,87.2,22.8,1008.236
149970,1715127000,2.60,1.40,2.72,0.77,2.72,0.77,82.4,20.4,1005.042
149970,1715091600,3.20,1.60,3.52,1.77,3.52,1.77,71.2,36.6,1011.41
149970,1715080200,2.20,1.40,2.49,1.30,2.49,1.30,58,57,1012.234
149970,1715065200,3.60,2.00,4.68,2.59,4.68,2.59,60.8,54,1011.524
149970,1715045400,3.60,2.60,4.55,3.55,4.55,3.55,71,43,1012.126
