sensor_index,time_stamp,pm2.5_alt_a,pm2.5_alt_b,temperature,humidity,pressure
149970,1676243400,7.60,6.80,48.4,35,1014.702
149970,1676214000,6.90,5.80,44,44.6,1021.532
149970,1676245800,7.80,7.30,46.8,36.8,1014.464
149970,1676230200,5.50,5.00,57,25,1016.532
149970,1676211000,8.00,7.10,40,49.4,1022.124
149970,1676244600,8.10,7.70,47.6,36,1014.582
149970,1676240400,7.50,7.10,51.2,32,1015.008
149970,1676224200,5.00,4.20,53.6,28,1018.032
149970,1676224800,4.30,3.80,54.4,27.6,1017.792
149970,1676454000,10.30,9.10,42.8,51,1020.468
149970,1676435400,8.30,7.30,43,46,1021.776
149970,1676427600,6.30,5.70,45,44,1022.7
149970,1676462400,7.80,7.30,51,39.2,1017.626
149970,1676443200,7.60,6.60,42,48,1021.406
149970,1676461800,7.80,6.90,49.8,41.2,1017.522
149970,1676421000,3.90,3.20,49,38,1021.69
149970,1676430000,7.20,6.50,44,44.6,1022.542
149970,1676451000,9.50,8.70,42,50.2,1019.526
149970,1676456400,8.60,7.90,43,51.2,1019.016
149970,1676440200,9.20,8.40,42,48,1021.552
149970,1676436000,8.30,7.60,43,46.4,1021.842
149970,1676419200,3.60,3.30,49.8,36,1021.15
149970,1676463600,8.10,7.30,52,37,1017.746
149970,1676458200,8.90,8.00,44,50,1018.39
149970,1676370600,4.90,4.20,47,46.8,1012.784
149970,1676337600,12.80,11.20,51,38.6,1002.052
149970,1676343600,9.50,8.20,53,36,1003.936
149970,1676338200,9.00,7.30,51,37.8,1002.194
149970,1676340000,5.70,5.50,52.2,35,1003.536
149970,1676343000,8.80,9.00,52.8,36.2,1003.954
149970,1676388000,3.30,2.90,50.6,38.8,1017
149970,1676415000,2.30,2.10,55,30.4,1021.054
149970,1676383200,4.50,4.10,48,44,1017.06
149970,1676407800,1.90,1.60,62.2,24.6,1018.78
149970,1676401800,2.00,1.70,62,25,1018.104
149970,1676344800,9.10,8.70,53,36.2,1004.012
149970,1676362800,6.80,6.40,47.2,47.2,1009.892
149970,1676392800,2.30,2.10,53.2,33.2,1018.216
149970,1676392200,2.90,2.40,53,34.8,1018.168
149970,1676349000,16.10,14.70,50.6,42.8,1005.588
149970,1676405400,1.70,1.60,63.8,23,1018.958
149970,1676341800,8.50,7.50,50.2,36,1001.48
149970,1676382000,4.90,4.40,47,45,1016.754
149970,1676404800,1.90,1.50,64.2,23,1018.774
149970,1676346000,9.20,8.70,52.4,37,1003.798
149970,1676406000,2.00,1.80,63.6,23,1018.788
149970,1676380200,5.20,4.60,46,46,1016.14
149970,1676418000,2.70,2.40,51.4,34.6,1021.666
149970,1676377800,5.50,4.90,46,47,1015.528
149970,1676256600,9.90,8.90,43,43.4,1013.198
