id,time_stamp,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b,temperature,humidity,pressure
149970,1703184600,2.00,1.10,2.91,1.17,2.91,1.17,41,33.2,1033.754
149970,1703169600,6.60,6.70,13.10,11.53,13.18,11.71,34.6,41.2,1035.606
149970,1703177400,3.20,2.40,5.29,4.25,5.29,4.25,35.2,38,1034.746
149970,1703179800,3.60,2.40,5.92,5.11,6.44,5.22,37.6,37.2,1034.284
149970,1703126400,11.20,9.10,19.09,15.69,19.09,15.69,44.2,50,1030.196
149970,1703166000,3.10,1.70,5.10,3.66,5.10,3.66,35.4,43,1035.032
149970,1703155800,3.50,2.10,5.82,3.87,5.82,3.87,39.6,44,1032.172
149970,1703144400,4.90,4.00,7.91,6.01,7.91,6.01,41.6,50,1030.682
149970,1703150400,4.50,2.50,7.52,4.78,7.52,4.78,41.2,47,1030.976
149970,1703202000,1.80,1.40,2.60,1.58,2.60,1.58,34.8,38,1034.596
149970,1703175000,3.50,3.30,6.09,5.28,6.09,5.28,35.2,39.8,1035.356
149970,1703186400,2.00,1.10,2.84,1.28,2.84,1.28,41,33,1033.69
149970,1703178600,2.00,1.00,2.98,1.55,2.98,1.55,35.8,37,1034.538
149970,1703132400,7.30,5.40,11.90,9.18,11.90,9.18,43,48.4,1030.338
149970,1703164200,4.50,2.60,7.86,5.62,7.86,5.62,36.8,45.4,1034.586
149970,1703145600,4.80,3.80,8.02,5.89,8.02,5.89,41.6,49,1030.784
149970,1703123400,10.50,8.80,19.06,14.49,19.06,14.49,43.6,50,1029.814
149970,1703176800,3.00,2.60,5.16,4.18,5.16,4.18,35,38.8,1035.092
149970,1703172600,4.50,5.20,8.17,8.39,8.74,9.35,34.6,40,1035.574
149970,1703140200,6.50,5.10,11.30,8.27,11.30,8.27,42.6,51.6,1030.306
149970,1703116800,12.00,9.80,21.11,16.69,21.11,16.69,44,50,1030.258
149970,1703025600,1.20,1.00,1.32,0.80,1.32,0.80,41,44.8,1023.424
149970,1703025000,1.40,1.20,1.81,1.32,1.81,1.32,41,44,1023.164
149970,1703091600,6.00,4.70,9.50,7.74,9.50,7.74,45.2,42.2,1029.522
149970,1703069400,1.40,1.20,1.98,1.08,1.98,1.08,37,44.4,1029.646
149970,1703116200,10.60,8.60,18.54,14.59,18.54,14.59,44,50,1030.324
149970,1703079600,2.90,2.40,4.65,3.45,4.65,3.45,37,49,1031.272
149970,1703113800,9.00,7.20,15.74,12.29,15.74,12.29,44,49.8,1030.006
149970,1703094600,6.10,4.30,9.18,6.50,9.18,6.50,46.8,40,1029.084
