id,time_stamp,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b,temperature,humidity,pressure
149970,1699397400,1.30,1.10,1.38,0.95,1.38,0.95,62,42,1010.496
149970,1699380000,11.80,10.60,21.28,17.61,21.29,17.61,68,50,1004.67
149970,1699458000,1.80,1.60,2.48,1.89,2.48,1.89,49.2,34.2,1021.318
149970,1699450200,2.20,1.50,3.00,2.22,3.00,2.22,46,37.2,1021.4
149970,1699462800,1.00,1.00,0.86,0.71,0.86,0.71,52,30.6,1021.52
149970,1699418400,1.10,0.50,0.53,0.16,0.53,0.16,54.4,49,1014.046
149970,1699468200,1.50,1.10,1.46,0.99,1.46,0.99,54,29,1020.556
149970,1699387800,3.10,2.60,4.45,3.41,4.45,3.41,64.8,45,1007.338
149970,1699466400,2.00,1.10,2.07,1.31,2.07,1.31,54.2,28,1020.328
149970,1699409400,2.10,1.60,2.68,1.61,2.68,1.61,57,48,1012.804
149970,1699459200,1.70,1.60,2.25,2.03,2.25,2.03,50.2,33,1021.69
149970,1699376400,11.90,10.70,20.80,17.76,20.80,17.76,67.6,52,1004.176
149970,1699379400,11.60,10.00,20.45,17.27,20.45,17.27,68,50,1004.476
149970,1699388400,2.60,2.20,3.64,2.83,3.64,2.83,64.8,45,1007.502
149970,1699480800,1.50,0.80,1.60,0.56,1.60,0.56,50,32.6,1020.738
149970,1699452000,2.80,2.50,4.06,3.49,4.06,3.49,46.6,36.8,1020.962
149970,1699471200,1.40,0.90,1.28,0.60,1.28,0.60,52.8,29,1020.52
149970,1699456200,1.90,1.60,2.38,1.91,2.38,1.91,47.6,35.2,1021.154
149970,1699464000,1.40,1.30,1.15,1.19,1.15,1.19,53,30.8,1020.802
149970,1699478400,1.70,1.20,1.69,0.99,1.69,0.99,51,31,1020.824
149970,1699453800,2.20,2.10,3.22,2.74,3.22,2.74,47,36.6,1020.984
149970,1699374600,11.40,10.70,20.24,17.77,20.24,17.77,67,51.4,1004.556
149970,1699482000,1.50,0.80,1.96,0.66,1.96,0.66,50,33,1020.924
149970,1699467600,1.80,1.20,2.26,1.18,2.26,1.18,54,29.2,1020.428
149970,1699410600,1.70,1.30,2.20,1.29,2.20,1.30,56.2,47.2,1013.004
149970,1699477800,1.50,1.00,1.51,0.85,1.51,0.85,51.8,31,1020.774
149970,1699401000,1.20,1.00,1.03,0.67,1.03,0.67,60,44.8,1011.332
149970,1699437000,2.10,1.30,2.95,1.71,2.95,1.71,47,40.2,1018.848
149970,1699426800,0.60,0.40,0.18,0.08,0.18,0.08,49.8,41.4,1016.146
149970,1699465200,1.10,0.90,1.00,0.75,1.00,0.75,54,29.4,1020.604
149970,1699406400,1.60,1.50,1.96,1.35,1.96,1.35,57,47.6,1012.124
149970,1699459800,1.30,1.20,1.49,1.10,1.49,1.10,50.6,32.6,1021.818
149970,1699420200,0.70,0.40,0.25,0.13,0.25,0.13,54,48,1014.294
149970,1699426200,0.60,0.50,0.18,0.06,0.18,0.06,50.4,42.4,1015.872
149970,1699431000,1.10,0.70,0.74,0.18,0.74,0.18,48.2,42,1017.07
149970,1699393200,1.20,0.90,1.30,0.74,1.30,0.74,63.6,41,1009.222
149970,1699383000,5.70,4.80,9.57,7.30,9.57,7.30,67,45.6,1005.734
149970,1699382400,6.10,5.20,10.14,8.14,10.14,8.14,67,46,1005.468
149970,1699369200,12.50,11.50,21.95,18.60,21.95,18.60,65,55,1005.084
149970,1699476000,1.00,0.80,0.97,0.35,0.97,0.35,52,30,1020.318
149970,1699413000,1.50,1.20,1.47,1.16,1.47,1.16,55,47.6,1013.38
149970,1699451400,2.80,1.90,4.58,3.27,4.58,3.27,46.6,37,1021.33
149970,1699430400,1.10,0.60,0.81,0.23,0.81,0.23,48.8,42,1016.972
149970,1699421400,0.50,0.40,0.22,0.12,0.22,0.12,54,47,1014.544
149970,1699438800,1.60,1.10,1.97,1.01,1.97,1.01,47,38.6,1019.42
149970,1699404600,1.20,1.00,1.07,0.73,1.07,0.73,58,46.4,1011.834
149970,1699403400,1.10,1.00,1.15,0.68,1.15,0.68,58.4,46,1011.62
149970,1699369800,12.40,11.30,21.99,18.71,21.99,18.71,65.6,54.4,1005.026
149970,1699384200,5.30,4.50,8.29,6.81,8.29,6.81,67,45,1005.926
149970,1699395600,1.70,1.30,1.90,1.45,1.90,1.45,62.2,42,1009.93
149970,1699429800,0.90,0.60,0.49,0.23,0.49,0.23,48.8,42,1016.628
149970,1699408200,2.10,1.60,2.52,1.54,2.52,1.54,56.8,48,1012.478
149970,1699467000,1.00,0.80,0.60,0.31,0.60,0.31,53.6,28,1019.954
149970,1699396200,1.10,0.90,1.04,0.65,1.04,0.65,62,42,1010.234
149970,1699380600,9.60,8.70,16.52,14.24,16.52,14.24,68,49,1004.854
149970,1699469400,1.00,0.80,0.85,0.36,0.85,0.36,54,28.8,1020.396
149970,1699473600,1.60,1.50,1.80,1.62,1.80,1.62,53,30,1020.336
149970,1699447800,2.30,1.30,3.25,1.64,3.25,1.64,45,38,1021.16
149970,1699417800,1.20,0.60,0.95,0.20,0.95,0.20,54.8,49,1013.812
149970,1699419600,1.20,0.50,0.83,0.08,0.83,0.08,54,48,1014.234
149970,1699407000,1.60,1.40,1.92,1.29,1.92,1.29,57,48,1012.33
149970,1699474800,1.00,0.90,0.70,0.41,0.70,0.41,53,29.2,1020.158
149970,1699377000,11.40,10.50,20.15,17.36,20.15,17.36,68,51,1004.116
149970,1699381800,5.70,4.80,9.58,7.32,9.58,7.32,67,46,1005.198
149970,1699446600,1.90,1.10,2.58,1.15,2.58,1.15,45,38,1020.742
149970,1699458600,1.10,1.00,0.94,0.85,0.94,0.85,50,33,1021.5
149970,1699437600,2.00,1.30,2.75,1.54,2.75,1.54,47,39.6,1018.996
149970,1699424400,2.10,0.40,1.60,0.06,1.60,0.06,51.8,43.4,1014.992
149970,1699449600,1.50,0.80,1.54,0.88,1.54,0.88,45.6,37,1021.426
149970,1699371600,12.10,11.60,20.79,18.96,20.79,18.96,66,53,1004.846
149970,1699368000,13.00,11.70,22.25,19.25,22.25,19.25,64,56.4,1005.186
149970,1699378800,11.20,10.20,19.70,16.72,19.70,16.72,68.6,49.8,1004.272
149970,1699368600,12.40,11.40,21.51,18.77,21.51,18.77,64.8,55.8,1005.13
149970,1699435200,1.70,1.20,1.79,0.95,1.79,0.95,46,41.2,1018.35
149970,1699391400,1.70,1.60,2.11,1.77,2.11,1.77,64,41.6,1008.368
149970,1699384800,4.40,4.00,7.12,5.56,7.12,5.56,66.8,45,1006.002
149970,1699399200,1.30,1.00,1.30,0.97,1.31,0.97,61.2,42.6,1011.08
149970,1699389600,2.60,2.20,3.68,2.81,3.68,2.81,65,44,1007.756
149970,1699420800,0.50,0.40,0.11,0.11,0.11,0.11,54,47.6,1014.448
149970,1699407600,2.00,1.70,2.28,1.82,2.28,1.82,57,48,1012.444
149970,1699412400,1.70,1.40,1.91,1.39,1.91,1.39,55.4,48,1013.29
149970,1699427400,0.80,0.50,0.37,0.14,0.37,0.14,49,41.2,1016.242
149970,1699416000,1.70,0.90,1.41,0.43,1.41,0.43,54,48,1013.468
