sensor_index,time_stamp,pm2.5_alt_a,pm2.5_alt_b,temperature,humidity,pressure
149970,1693602000,3.90,3.30,91,25.4,1024.436
149970,1693576200,4.10,3.60,70,52.8,1027.252
149970,1693601400,4.30,3.90,90.6,25.8,1024.538
149970,1693606800,3.70,3.20,87.8,31.2,1024.04
149970,1693603200,4.30,3.60,90.4,26.2,1024.398
149970,1693610400,3.90,3.40,80.6,38.2,1023.942
149970,1693599000,3.90,3.30,91.2,25,1024.824
149970,1693576800,3.70,3.20,71,51,1027.29
149970,1693573200,5.10,4.20,66.8,57,1026.924
149970,1693608600,3.90,3.20,83.6,35.8,1024.082
149970,1693608000,3.60,3.10,84.6,34,1024.036
149970,1693572600,4.70,3.60,66,57.2,1026.832
149970,1693594200,4.80,4.30,89.2,26.2,1025.37
149970,1693595400,3.10,2.90,90,25.4,1025.084
149970,1693623600,8.50,7.10,70.4,54,1024.456
149970,1693624200,8.30,6.80,70,54.6,1024.364
149970,1693669800,4.60,4.00,80,46,1020.888
149970,1693647000,4.60,3.60,64.2,61,1023.672
149970,1693660200,5.70,4.90,71,56.2,1022.736
149970,1693668000,4.70,4.10,78,48.4,1020.952
149970,1693629000,7.00,5.80,68,56.2,1024.194
149970,1693696200,6.30,5.40,84,45,1016.424
149970,1693659600,5.60,4.50,70.4,57,1022.842
149970,1693695000,13.50,12.60,84.8,44,1016.304
149970,1693631400,6.60,5.50,67.8,56.6,1024.1
149970,1693661400,5.40,4.20,72,54,1022.65
149970,1693676400,4.20,3.40,89,35,1018.956
149970,1693627800,7.10,6.00,68.6,56,1024.312
149970,1693671600,3.90,3.30,82.4,42,1020.384
149970,1693698600,7.10,5.80,81.6,48,1015.978
149970,1693656600,6.00,5.00,67,61,1023.562
149970,1693660800,4.60,3.90,71.2,55,1021.992
149970,1693627200,7.50,6.20,69,56,1024.412
149970,1693690200,8.70,7.50,90,37.4,1016.714
149970,1693678800,3.90,3.40,91.4,33.4,1018.028
149970,1693667400,4.70,4.20,77,49.4,1021.228
149970,1693681800,3.60,2.90,94,30.6,1017.494
