sensor_index,time_stamp,pm2.5_alt_a,pm2.5_alt_b,temperature,humidity,pressure
87173,1695477600,7.60,5.90,62.8,59.4,1025.604
87173,1695457200,4.80,3.80,62,58,1026.202
87173,1695507000,7.30,5.90,68,55.2,1022.124
87173,1695467400,4.90,4.20,60,59,1026.046
87173,1695487200,6.50,5.50,67,54,1024.348
87173,1695502800,7.20,6.40,68,55,1022.376
87173,1695481200,5.10,4.20,65,56.2,1025.188
87173,1695491400,5.20,4.20,67,51,1023.992
87173,1695445200,6.20,4.80,65,55,1026.954
87173,1695511200,6.30,5.40,66.2,57,1021.858
87173,1695468600,4.00,3.50,60,59,1026.024
87173,1695442800,9.30,7.50,66,55,1026.972
87173,1695427800,10.20,8.40,73,47,1026.68
87173,1695496800,6.40,5.30,68,51.8,1022.662
87173,1695478200,5.70,5.00,63,58.8,1025.568
87173,1695501000,7.60,6.70,68,54.4,1022.52
87173,1695441600,9.40,7.90,67,54,1026.886
87173,1695454200,6.00,5.00,62,58.2,1026.29
87173,1695476400,5.00,4.30,62,59,1025.584
87173,1695430800,9.40,7.70,71,48.2,1026.806
87173,1695475200,5.50,4.80,62,59.6,1025.74
87173,1695448800,7.30,6.20,64,56.4,1026.59
87173,1695466800,13.50,10.20,60,59,1025.97
87173,1695512400,6.00,4.80,66,57.6,1021.83
87173,1695521400,6.50,5.10,64,57.8,1021.586
87173,1695547800,7.10,5.60,63,59.6,1020.116
87173,1695525600,7.10,5.90,64,58.6,1021.692
87173,1695531600,8.70,7.20,63,59.4,1021.294
87173,1695588600,22.80,18.20,69,58,1018.356
87173,1695526200,7.00,5.60,63.6,58.6,1021.798
87173,1695519000,5.80,4.80,65,59,1021.704
87173,1695582000,10.40,8.80,70,56.2,1018.592
87173,1695575400,9.60,8.30,74,44,1018.768
87173,1695580800,8.80,7.60,71,54.6,1018.45
87173,1695586800,13.70,11.30,69,58.8,1018.23
87173,1695550200,7.90,6.60,62,60,1020.352
87173,1695526800,6.70,5.70,63,59,1021.72
87173,1695592200,21.70,17.70,68,61.2,1018.234
87173,1695550800,7.80,6.30,63,60,1020.368
87173,1695549000,7.80,6.50,62,59.8,1020.062
87173,1695561000,7.00,5.80,64.6,54.4,1020.542
87173,1695525000,6.40,5.20,64,59,1021.864
87173,1695543600,7.00,5.90,63,60,1020.466
87173,1695555600,7.60,6.20,62,60,1020.57
87173,1695393000,3.80,3.50,66,55.6,1030.254
87173,1695392400,3.80,3.20,65.4,56.4,1030.23
87173,1695424800,9.10,7.30,75,46.2,1026.512
87173,1695404400,5.40,4.60,80,36.8,1027.828
87173,1695397200,4.10,3.70,72,48,1029.364
87173,1695408000,5.50,4.70,83,33.2,1027.32
87173,1695423000,8.10,7.00,77.2,45,1026.36
87173,1695410400,5.70,4.80,82.2,33.4,1026.9
87173,1695610200,14.10,12.00,65.4,63,1018.03
87173,1695637200,11.40,8.90,65,62,1018.152
87173,1695630600,11.00,8.80,65,62.8,1017.586
87173,1695613200,12.40,10.40,66,62,1017.846
87173,1695638400,12.00,9.70,65,63,1018.394
87173,1695622800,11.00,9.00,65,63.2,1017.466
87173,1695628200,10.20,8.80,64.8,62,1017.328
87173,1695614400,12.40,9.90,66,62,1017.772
87173,1695603600,15.20,12.80,67,61.2,1018.574
87173,1695600600,20.70,16.90,67,63,1018.618
87173,1695622200,10.30,8.30,64.8,63,1017.57
87173,1695635400,11.10,8.90,65,63,1017.902
87173,1695616200,12.50,10.00,65,62.6,1017.556
87173,1695631200,11.10,9.10,65,63,1017.578
87173,1695636600,10.70,8.90,65,62.4,1018.082
87173,1695627600,9.90,8.00,64.4,62,1017.326
87173,1695444000,7.10,5.70,65.8,54.4,1026.958
87173,1695440400,11.10,8.90,67,53.6,1026.848
87173,1695499800,6.50,5.20,68,51.8,1022.466
87173,1695480600,4.90,4.50,64,57,1025.278
87173,1695505200,9.20,7.10,68,55.6,1022.148
87173,1695427200,10.40,8.30,73,47,1026.668
87173,1695465600,4.00,3.40,60,59,1026.05
87173,1695510000,5.40,4.70,67,56,1021.914
87173,1695489600,5.20,4.20,67,52,1024.246
87173,1695430200,9.50,7.70,72,48,1026.782
87173,1695509400,6.70,5.30,67.8,56,1022.072
87173,1695486000,7.70,6.30,66.4,55.6,1024.668
87173,1695459600,4.00,3.40,61,57.8,1026.14
87173,1695483000,9.60,8.10,65,56,1024.866
87173,1695506400,7.90,6.50,68,55.2,1022.01
87173,1695510600,6.40,5.10,67,56.6,1021.832
87173,1695448200,6.30,5.30,64,56,1026.77
87173,1695479400,6.00,5.10,64,57,1025.454
87173,1695553200,7.70,6.40,63,60,1020.528
87173,1695596400,57.20,49.00,67,63,1018.246
87173,1695563400,7.80,6.50,66,52.8,1020.292
87173,1695573600,9.00,8.00,72.8,43.6,1018.94
87173,1695585000,11.10,9.00,69,58,1018.372
87173,1695559800,6.80,5.80,64,55.8,1020.78
87173,1695559200,6.50,5.40,63.2,56.8,1020.74
87173,1695542400,6.40,5.50,63,60,1020.324
87173,1695515400,5.30,4.60,65,57.2,1022.036
87173,1695561600,7.50,6.10,65,54,1020.52
87173,1695554400,7.70,6.50,62.2,60,1020.59
87173,1695574200,9.20,8.00,73,44,1018.836
87173,1695595800,101.70,88.30,67,62.6,1018.246
87173,1695579600,8.70,7.20,72,52.6,1018.436
87173,1695522000,6.40,5.50,64,57,1021.58
87173,1695597000,30.50,25.30,67,62.6,1018.31
87173,1695556800,7.00,6.10,62,59.4,1020.648
87173,1695576600,8.70,7.10,74,44.8,1018.568
87173,1695555000,7.20,6.40,62,60,1020.586
87173,1695570000,9.00,7.70,70,45.8,1019.694
87173,1695585600,12.60,9.90,69,58.2,1018.336
87173,1695564000,7.80,6.70,66,51.8,1020.394
87173,1695516000,5.30,4.70,65,57.8,1021.99
87173,1695583200,12.80,10.80,70,57.4,1018.678
87173,1695536400,6.70,5.80,62,59.4,1021
87173,1695593400,26.30,21.50,67.2,62,1018.386
87173,1695385800,4.20,3.40,59.6,63.4,1029.576
87173,1695390000,4.20,3.30,62,59.2,1030.014
87173,1695403200,4.90,4.00,79.4,37.8,1028.052
87173,1695391200,3.80,3.30,64,57.6,1030.016
87173,1695388200,4.40,4.10,61,61,1029.766
87173,1695413400,6.40,5.30,82,35.4,1026.64
87173,1695399600,4.10,3.60,74.6,44.2,1028.74
87173,1695418200,8.10,6.30,81,41.4,1026.34
87173,1695422400,7.80,5.90,78,44.2,1026.298
87173,1695405000,5.60,4.60,81,35.8,1027.844
87173,1695394200,4.00,3.20,67.6,54.2,1030.01
87173,1695406200,5.30,4.40,82,35.4,1027.538
87173,1695393600,4.10,3.50,67,54.8,1030.202
87173,1695420600,6.80,5.50,79.2,44,1026.284
87173,1695403800,5.10,4.60,80,37.2,1027.898
87173,1695402000,4.30,3.70,78,40.4,1028.338
87173,1695631800,10.90,9.00,65,62.8,1017.644
87173,1695612600,12.90,9.80,66,62.2,1017.958
87173,1695637800,12.00,9.40,65,62,1018.298
87173,1695624600,10.10,8.40,65,62,1017.228
87173,1695641400,12.70,10.70,65,63,1018.812
87173,1695634200,10.60,8.90,65,63.2,1017.654
87173,1695601200,18.50,15.10,67,62.6,1018.628
87173,1695643200,12.40,9.90,65,63,1019.244
87173,1695617400,12.70,10.30,65,64,1017.496
87173,1695621600,10.40,9.10,64,63.4,1017.646
87173,1695620400,10.60,9.10,64,64,1017.782
87173,1695604200,14.90,12.30,67,61,1018.45
87173,1695625800,10.70,8.70,64.2,62,1017.192
87173,1695605400,15.80,13.20,66,61.8,1018.486
87173,1695618600,12.80,10.70,64.2,64.4,1017.668
87173,1695497400,6.00,4.90,68,51.4,1022.58
87173,1695511800,6.40,5.10,66,57,1021.868
87173,1695487800,6.20,4.80,67,53.6,1024.34
87173,1695445800,6.50,5.40,65,55.2,1026.872
87173,1695444600,6.60,5.40,65,54.8,1027.026
