id,time_stamp,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b,temperature,humidity,pressure
87173,1701809400,6.60,5.90,10.50,10.75,10.50,10.75,45,51,1017.19
87173,1701757200,1.50,1.60,1.82,2.84,1.82,2.84,44,52,1012.254
87173,1701747600,1.30,1.40,1.42,2.52,1.42,2.52,45,51.8,1011.008
87173,1701803400,6.10,5.30,9.43,9.31,9.43,9.31,44,51.2,1016.968
87173,1701892800,6.40,6.20,9.97,11.98,9.97,11.98,42,51.4,1015.754
87173,1701853200,5.20,5.10,8.05,9.16,8.05,9.16,40,55.8,1016.116
87173,1701820800,5.80,5.70,8.87,10.34,8.87,10.34,42,54.8,1017.436
87173,1701753000,1.30,1.80,1.48,4.55,1.48,4.55,45,51,1011.646
87173,1701818400,5.80,5.00,8.64,9.46,8.64,9.46,42,54,1017.284
87173,1701805200,6.30,5.30,9.76,9.82,9.76,9.82,44.2,50.8,1016.898
87173,1701762600,1.50,1.60,1.66,2.58,1.66,2.58,44,53,1013.802
87173,1701757800,1.40,1.70,1.67,2.83,1.67,2.83,44,52,1012.492
87173,1701801600,5.40,4.60,8.24,9.16,8.24,9.16,44.4,50.4,1016.842
87173,1701754200,1.40,1.60,1.70,2.95,1.70,2.95,44.4,51,1011.568
87173,1701896400,7.60,7.00,12.68,13.01,12.68,13.01,39.2,53,1016.052
87173,1701891000,6.30,6.00,9.71,10.71,9.71,10.71,42,51.4,1015.744
87173,1701856800,5.50,5.00,8.75,9.48,8.75,9.48,39.4,56.6,1016.142
87173,1701829800,5.10,4.40,7.66,7.99,7.66,7.99,42,55.4,1017.384
87173,1701858600,5.20,5.10,7.70,9.23,7.70,9.23,40,56.8,1016.156
87173,1701774600,1.30,1.40,1.42,2.81,1.42,2.81,44,53,1015.13
87173,1701810000,6.10,5.00,9.79,8.99,9.79,8.99,44.8,51.2,1017.202
87173,1701789600,6.70,5.80,10.34,10.25,10.34,10.25,45.2,52.6,1017.828
87173,1701759000,1.40,1.60,1.62,2.84,1.62,2.84,44,52.4,1012.876
87173,1701772200,1.40,1.70,1.63,3.37,1.63,3.37,43,53.8,1014.776
87173,1701897600,6.80,6.70,11.34,12.56,11.34,12.56,38.8,53.4,1016.18
87173,1701887400,5.20,5.00,7.73,9.28,7.73,9.28,43,51.6,1015.438
87173,1701898200,6.30,6.10,10.66,11.22,10.66,11.22,38.8,54.8,1016.218
87173,1701880200,5.30,4.90,7.79,9.09,7.79,9.09,42.2,53,1016.194
87173,1701822000,6.00,5.50,9.20,9.94,9.20,9.94,42,55.2,1017.524
87173,1701788400,6.80,6.30,10.62,11.43,10.62,11.43,44,52.6,1017.88
87173,1701800400,5.10,4.80,8.02,8.26,8.02,8.26,44.6,49.4,1016.918
87173,1701786600,7.80,6.90,12.08,12.67,12.08,12.67,43.4,55.4,1016.922
87173,1701891600,6.40,5.80,9.81,10.10,9.81,10.10,41.6,51.4,1015.788
87173,1701886200,5.80,5.50,8.69,9.63,8.69,9.63,42.6,52.2,1015.508
87173,1701884400,5.50,5.00,8.24,9.88,8.24,9.88,41.2,52.4,1015.768
87173,1701864000,5.60,5.50,8.76,10.03,8.76,10.03,38.4,57.8,1016.574
87173,1701836400,4.80,4.30,7.25,8.10,7.25,8.10,40.8,57,1017.24
87173,1701823200,6.00,5.80,9.32,10.40,9.32,10.40,42,54.4,1017.618
87173,1701854400,4.80,4.80,7.20,8.56,7.20,8.56,40,56.4,1016.034
87173,1701796800,4.80,4.60,7.44,8.52,7.44,8.52,45,49.6,1016.998
87173,1701806400,5.90,5.20,9.19,9.02,9.19,9.02,44,51.4,1016.85
87173,1701766200,1.60,1.70,1.91,3.87,1.91,3.87,44,52.8,1013.904
87173,1701817200,6.10,5.50,9.59,10.06,9.59,10.06,42,54.6,1017.086
87173,1701765000,1.40,1.50,1.64,2.88,1.64,2.88,44,53,1013.79
87173,1701801000,5.30,4.80,8.29,8.90,8.29,8.90,44,49.8,1016.894
87173,1701797400,5.30,4.70,8.02,8.45,8.02,8.45,44.8,49.6,1016.918
87173,1701843000,5.50,5.30,8.20,10.30,8.20,10.30,40,57,1016.602
87173,1701876000,4.70,4.50,6.90,8.23,6.90,8.23,40.2,55.8,1016.878
87173,1701874200,4.90,4.60,7.16,8.67,7.16,8.67,41,55.8,1016.85
87173,1701853800,5.20,4.80,7.95,8.55,7.95,8.55,40,56.2,1016.058
87173,1701823800,6.10,5.50,9.30,10.41,9.30,10.41,42,54.2,1017.584
87173,1701861000,5.70,5.50,9.55,10.06,9.55,10.06,39,56.8,1016.272
87173,1701824400,5.60,5.40,8.89,9.50,8.89,9.50,42,55,1017.588
87173,1701852000,5.00,5.00,7.56,8.39,7.56,8.39,41,54.8,1016.162
87173,1701799200,4.90,4.50,7.53,8.48,7.53,8.48,44,50,1016.864
87173,1701759600,1.60,1.80,1.78,3.75,1.78,3.75,44,52,1013.006
87173,1701811200,5.90,5.70,9.34,10.35,9.34,10.35,44,53.2,1017.066
87173,1701819600,5.80,5.60,8.90,10.24,8.90,10.24,42,54.8,1017.272
87173,1701785400,7.70,6.90,11.73,12.37,11.73,12.37,44,56.4,1016.478
87173,1701784800,7.70,7.10,11.75,13.08,11.75,13.08,43,56.8,1016.392
87173,1701907800,6.90,6.50,11.73,12.00,11.73,12.00,38,56.4,1017.41
87173,1701901800,7.40,6.90,12.67,12.36,12.67,12.36,39.6,54.4,1016.712
87173,1701898800,6.80,6.20,11.29,11.56,11.29,11.56,39,54.6,1016.356
87173,1701859800,5.20,5.10,7.46,9.30,7.46,9.30,40,56.6,1016.226
87173,1701883200,5.30,5.30,8.21,9.31,8.21,9.31,42,52.8,1015.81
87173,1701829200,5.10,4.90,7.95,8.89,7.95,8.89,41.8,54.6,1017.404
87173,1701840000,5.50,5.20,8.21,11.37,8.21,11.37,42,56.4,1016.694
87173,1701833400,4.30,4.50,6.61,8.54,6.61,8.54,41.6,55.2,1017.32
87173,1701794400,5.50,4.80,8.15,8.60,8.15,8.60,45,49.2,1017.268
87173,1701766800,1.50,1.70,1.84,3.10,1.84,3.10,44,53,1013.942
87173,1701747000,1.10,1.50,1.21,2.30,1.21,2.30,45.2,52,1010.874
87173,1701763200,1.40,1.60,1.58,2.56,1.58,2.56,44,53.4,1013.854
87173,1701781200,9.20,8.10,14.22,14.89,14.22,14.89,42.4,56.4,1016.372
87173,1701743400,1.20,1.40,1.22,2.42,1.22,2.42,46,51.8,1010.646
87173,1701793200,6.00,5.00,9.07,8.96,9.07,8.96,46,50.6,1017.118
87173,1701889800,5.60,5.40,8.67,9.64,8.67,9.64,42,51,1015.666
87173,1701894000,6.70,6.00,10.61,11.01,10.61,11.01,41,52.6,1015.88
87173,1701871200,5.80,5.70,9.29,10.55,9.29,10.55,39.4,56,1016.828
87173,1701844800,5.40,5.40,8.40,9.73,8.40,9.73,39,58.4,1016.702
87173,1701821400,6.00,5.40,9.37,9.74,9.37,9.74,41.8,54.4,1017.412
87173,1701789000,6.80,6.00,10.58,10.85,10.58,10.85,44.8,52.6,1017.894
87173,1701772800,1.30,1.70,1.50,3.31,1.50,3.31,43.8,53.6,1014.774
87173,1701780000,8.60,7.50,13.23,13.88,13.23,13.88,44,56,1015.934
87173,1701744000,1.10,1.50,1.29,2.90,1.29,2.90,46,51.4,1010.698
87173,1701899400,6.70,6.30,11.41,11.50,11.41,11.50,39,54.8,1016.478
87173,1701867600,5.50,5.20,8.44,8.98,8.44,8.98,39,58,1016.726
87173,1701839400,4.90,5.70,7.55,11.90,7.55,11.90,41.6,57.2,1016.832
87173,1701752400,1.20,1.80,1.22,4.74,1.22,4.74,45,51.6,1011.664
87173,1701814200,6.00,5.70,9.44,10.32,9.44,10.32,43.2,52.8,1016.964
87173,1701792000,6.50,6.10,10.16,10.64,10.16,10.64,46.4,50.6,1016.952
87173,1701795000,4.90,4.30,7.77,7.75,7.77,7.75,45,49.4,1017.266
87173,1701885600,5.30,5.00,8.13,9.49,8.13,9.49,42,52.8,1015.54
87173,1701777600,5.90,5.00,8.49,9.66,8.49,9.66,44,56.4,1015.754
87173,1701750000,1.20,1.50,1.34,2.61,1.34,2.61,45,53,1011.48
87173,1701808200,5.30,4.40,8.19,7.82,8.19,7.82,45.2,51.8,1016.788
87173,1701765600,1.60,1.60,1.81,2.77,1.81,2.77,44,53,1013.89
87173,1701760800,1.40,1.60,1.59,3.00,1.59,3.00,44,52.2,1013.242
87173,1701796200,5.00,4.10,7.69,7.60,7.69,7.60,45.2,49.6,1017.146
87173,1701790200,6.20,5.80,9.72,10.37,9.72,10.37,45.8,51.8,1017.69
87173,1701769800,1.60,1.80,2.07,3.05,2.07,3.05,43.6,54,1014.506
87173,1701865200,5.10,5.40,7.81,10.00,7.81,10.00,39,58.2,1016.658
87173,1701834000,4.60,4.50,7.03,8.49,7.03,8.49,41.2,55.4,1017.254
87173,1701834600,4.70,4.40,7.12,8.17,7.12,8.17,41,55.8,1017.292
87173,1701799800,4.80,4.20,7.28,7.86,7.28,7.86,44.6,50.4,1016.896
87173,1701777000,5.90,5.40,8.62,9.73,8.62,9.73,43.4,56,1015.79
87173,1701751200,1.40,1.50,1.54,2.72,1.54,2.72,45,52.4,1011.568
87173,1701787800,6.70,5.80,10.31,10.60,10.31,10.60,44,53.8,1017.742
87173,1701892200,6.60,5.90,9.89,11.33,9.89,11.33,42,51.8,1015.734
87173,1701877200,5.80,5.50,8.85,10.03,8.85,10.03,40,55.6,1016.676
87173,1701825000,5.90,5.30,9.12,9.62,9.12,9.62,42,55,1017.64
87173,1701850200,4.80,4.80,7.20,8.33,7.20,8.33,41,56.4,1016.25
87173,1701776400,3.20,3.20,4.34,6.06,4.34,6.06,43.4,53.4,1015.612
87173,1701816600,5.90,5.10,9.25,9.33,9.25,9.33,42,54.6,1017.092
87173,1701745800,1.10,1.30,1.29,2.06,1.29,2.06,46,51.4,1010.776
87173,1701783600,8.00,7.00,12.36,13.07,12.36,13.07,42.6,55.6,1016.658
87173,1701875400,5.00,4.80,7.66,8.30,7.66,8.30,40.4,55,1016.9
87173,1701873000,4.90,4.80,7.21,9.02,7.21,9.02,40.4,58,1016.782
87173,1701863400,5.50,5.20,8.52,9.63,8.52,9.63,38.6,58.2,1016.454
87173,1701804000,6.00,5.50,9.45,9.64,9.45,9.64,44,50.6,1016.988
87173,1701802200,6.40,5.50,9.99,9.99,9.99,10.05,44,50.2,1016.92
87173,1701763800,1.40,1.70,1.72,3.00,1.72,3.00,43.8,52.8,1013.688
87173,1701811800,5.90,5.40,9.32,10.11,9.32,10.11,44,53,1017.112
87173,1701755400,1.40,1.50,1.57,2.83,1.57,2.83,44.6,51.8,1011.926
87173,1701770400,1.50,1.80,1.89,3.82,1.89,3.82,43.8,54,1014.576
87173,1701895200,7.30,6.60,11.74,12.30,11.74,12.30,40,53.4,1015.968
87173,1701882000,5.00,4.80,7.57,8.32,7.57,8.32,42,52,1015.962
87173,1701835800,4.30,4.10,6.51,7.13,6.51,7.13,41,56.8,1017.278
87173,1701844200,5.40,5.10,8.75,9.70,8.75,9.70,38.8,57.8,1016.668
87173,1701831000,5.30,4.80,8.11,8.80,8.11,8.80,42,54.4,1017.396
87173,1701769200,1.60,1.80,2.09,3.27,2.09,3.27,43.4,54,1014.438
87173,1701798600,5.40,5.00,8.30,8.66,8.30,8.66,44.2,50.2,1016.84
87173,1701767400,1.60,1.70,1.93,2.99,1.93,2.99,43.6,53,1014.048
87173,1701790800,6.40,5.50,9.81,9.86,9.81,9.86,46,51.4,1017.418
87173,1701877800,4.90,5.00,7.19,9.04,7.19,9.04,41,56.2,1016.588
87173,1701841200,5.90,5.40,8.81,9.31,8.81,9.31,41.4,56.2,1016.608
87173,1701826200,5.90,5.30,9.11,9.76,9.11,9.76,42,54.2,1017.6
87173,1701802800,7.50,6.70,11.71,12.31,11.71,12.33,43.8,50.4,1017.018
87173,1701814800,5.80,5.50,9.12,9.48,9.12,9.48,42.2,53.8,1017.1
87173,1701761400,1.40,1.60,1.66,2.59,1.66,2.59,43.8,52.6,1013.496
87173,1701868200,5.80,4.90,8.51,9.49,8.51,9.49,40,58,1016.742
87173,1701881400,4.70,4.40,6.88,8.40,6.88,8.40,42,53.6,1015.954
87173,1701846000,5.00,5.20,7.45,9.65,7.45,9.65,39,59,1016.63
87173,1701838200,5.00,4.70,7.27,8.61,7.27,8.61,41,58,1016.952
87173,1701837000,4.60,4.60,6.97,8.06,6.97,8.06,40.2,56.8,1017.14
87173,1701748800,1.30,1.50,1.50,2.50,1.50,2.50,45,52.2,1011.294
87173,1701798000,5.30,5.20,8.36,9.07,8.36,9.07,44.2,50.2,1016.868
87173,1701780600,8.90,7.70,13.81,13.67,13.81,13.67,43,55.8,1016.194
87173,1701879600,5.30,4.90,8.05,9.24,8.05,9.24,42.6,53.6,1016.3
87173,1701872400,4.70,5.00,6.98,8.87,6.98,8.87,39.4,58.4,1016.828
87173,1701852600,5.50,5.10,8.21,9.08,8.21,9.08,40.6,55,1016.086
87173,1701838800,5.10,5.40,7.61,11.24,7.61,11.24,41,57.6,1016.832
87173,1701859200,5.50,5.20,7.96,9.11,7.96,9.11,40,56.8,1016.096
87173,1701830400,5.10,4.60,7.69,8.32,7.69,8.32,42.6,55.2,1017.346
87173,1701840600,5.70,5.10,8.65,8.99,8.65,8.99,41.6,56.6,1016.636
87173,1701805800,6.30,5.60,10.34,10.48,10.34,10.48,44,51.2,1017.022
87173,1701816000,5.90,5.20,8.97,9.75,8.97,9.75,42,54.8,1017.114
87173,1701813600,5.40,5.30,8.61,9.46,8.61,9.46,44,53,1016.93
87173,1701807000,5.00,4.70,7.90,8.27,7.90,8.27,44.6,52.6,1016.684
87173,1701906000,6.60,6.40,11.60,11.29,11.60,11.29,38.4,54.8,1017.234
87173,1701906600,7.50,6.60,12.90,12.79,12.90,12.79,38,55.4,1017.334
87173,1701885000,5.40,4.90,7.73,8.53,7.73,8.53,41.8,52.4,1015.678
87173,1701869400,5.50,5.10,7.98,9.83,7.98,9.83,40.2,57.8,1016.774
87173,1701870600,5.70,5.30,9.13,9.42,9.13,9.42,40.2,56.2,1016.806
87173,1701831600,5.10,4.40,7.70,7.91,7.70,7.91,42,54.4,1017.402
87173,1701825600,6.10,5.40,9.20,9.27,9.20,9.27,42,54.8,1017.636
87173,1701756600,1.50,1.60,1.77,3.52,1.77,3.52,44,52,1012.058
87173,1701758400,1.50,1.60,1.96,2.89,1.96,2.89,44,52,1012.718
87173,1701748200,1.20,1.40,1.46,2.81,1.46,2.81,45,52,1011.204
87173,1701907200,6.90,6.50,11.96,12.35,11.96,12.35,37.4,56,1017.328
87173,1701888000,6.00,5.30,9.35,10.13,9.35,10.13,43,51,1015.446
87173,1701871800,5.20,5.50,8.45,9.88,8.45,9.88,38.6,57,1016.854
87173,1701862800,5.50,5.40,8.77,10.29,8.77,10.29,38.6,57.8,1016.44
87173,1701861600,6.30,6.10,10.38,11.63,10.38,11.63,38.8,57.2,1016.37
87173,1701842400,5.90,5.10,8.66,9.44,8.66,9.44,40.2,56.8,1016.594
87173,1701826800,5.60,4.90,8.32,9.21,8.32,9.21,42,55.6,1017.566
87173,1701775800,1.20,1.50,1.24,3.01,1.24,3.01,44,53,1015.384
87173,1701813000,5.30,4.90,8.35,9.19,8.35,9.19,44,53,1016.936
87173,1701868800,5.40,5.30,8.30,9.50,8.30,9.50,39.8,56.8,1016.742
87173,1701879000,5.30,4.80,7.73,8.66,7.73,8.66,42,54,1016.278
87173,1701874800,4.70,4.70,6.95,8.46,6.95,8.46,41,55.6,1016.84
87173,1701848400,4.70,4.80,6.90,8.68,6.90,8.68,40,58.2,1016.576
87173,1701867000,5.50,5.20,8.39,9.02,8.39,9.02,39,58,1016.716
87173,1701837600,4.80,4.60,7.11,8.94,7.11,8.94,40,57.8,1017.07
87173,1701782400,8.20,7.40,12.70,13.96,12.70,13.96,43,57.2,1016.512
87173,1701744600,1.40,1.50,1.56,2.49,1.56,2.49,46,51.8,1010.726
87173,1701771600,1.50,1.60,1.72,2.61,1.72,2.61,43,54,1014.674
87173,1701820200,6.70,5.80,10.39,10.47,10.39,10.47,42,54.4,1017.392
87173,1701784200,8.10,7.40,12.20,12.82,12.20,12.82,43,57,1016.512
87173,1701817800,5.60,5.20,8.70,9.75,8.70,9.75,42,54,1017.184
87173,1701791400,7.10,5.70,10.99,10.83,10.99,10.83,46.2,51,1017.048
87173,1701904200,7.20,6.50,12.21,12.04,12.21,12.04,39,54.6,1016.968
87173,1701893400,6.80,6.00,10.42,10.56,10.42,10.56,41,51.8,1015.78
87173,1701858000,5.10,5.00,7.55,9.03,7.55,9.03,39.4,57.2,1016.17
87173,1701849000,4.90,4.90,7.16,8.75,7.16,8.75,41,57.6,1016.508
87173,1701850800,5.30,5.00,7.81,9.33,7.81,9.33,41,55.6,1016.212
87173,1701846600,4.90,4.90,7.25,9.16,7.25,9.16,39.8,58.6,1016.572
87173,1701760200,1.40,1.70,1.72,2.87,1.72,2.87,44,52,1013.136
87173,1701787200,7.90,6.60,12.17,11.49,12.17,11.49,43.6,55.6,1017.41
87173,1701807600,5.30,4.80,8.25,9.17,8.25,9.17,45,52,1016.63
87173,1701904800,7.40,7.00,12.98,12.87,12.98,12.87,39,55,1017.004
87173,1701862200,5.50,5.60,8.46,10.67,8.46,10.67,39,58,1016.384
87173,1701841800,5.40,5.30,7.97,9.19,7.97,9.19,41,56.4,1016.63
87173,1701857400,5.40,5.30,8.37,9.71,8.37,9.71,39,56.8,1016.188
87173,1701847200,5.40,5.20,8.33,9.21,8.33,9.21,39,58.4,1016.644
87173,1701793800,5.70,5.00,8.73,9.26,8.73,9.26,45.8,49.8,1017.17
87173,1701815400,6.60,6.00,10.45,11.63,10.45,11.63,42,54.2,1017.094
87173,1701900600,7.30,6.70,12.48,12.67,12.48,12.67,39.4,54.4,1016.558
87173,1701860400,5.60,5.40,8.56,10.14,8.56,10.14,39.2,56.6,1015.872
87173,1701873600,4.70,4.50,7.07,8.31,7.07,8.31,41,56.8,1016.836
87173,1701795600,5.00,4.20,7.38,7.54,7.38,7.54,45,49.6,1017.278
87173,1701883800,5.80,5.10,8.48,8.82,8.48,8.82,41.2,52.2,1015.828
87173,1701856200,5.40,5.20,8.02,10.06,8.02,10.06,39.6,56.4,1016.074
87173,1701843600,5.50,5.60,8.61,10.22,8.61,10.22,39.8,57.2,1016.586
87173,1701756000,1.40,1.60,1.70,2.84,1.70,2.84,44,51.6,1011.972
87173,1701901200,7.30,6.40,12.77,12.10,12.77,12.10,39.2,54.4,1016.614
87173,1701900000,7.00,6.70,11.98,11.99,11.98,11.99,39,54.8,1016.55
87173,1701895800,6.80,6.40,11.26,12.23,11.26,12.23,40,53.4,1015.94
87173,1701889200,5.70,5.40,8.72,9.24,8.72,9.24,42,50.8,1015.576
87173,1701865800,5.20,5.30,8.16,10.51,8.16,10.51,39,57.8,1016.708
87173,1701866400,5.50,5.30,8.33,9.10,8.33,9.10,39,57.6,1016.718
87173,1701828000,5.50,5.10,8.38,9.43,8.38,9.43,42.2,54,1017.506
87173,1701845400,5.20,5.30,7.89,9.84,7.89,9.84,39,58.8,1016.656
87173,1701832200,5.10,4.30,7.58,7.25,7.58,7.25,41.2,53.8,1017.36
87173,1701835200,4.30,4.40,6.85,8.32,6.85,8.32,41,56.2,1017.27
87173,1701751800,1.30,1.60,1.42,3.07,1.42,3.07,45,52,1011.628
87173,1701792600,6.60,6.00,10.00,10.78,10.00,10.78,46,50.4,1017.098
87173,1701775200,1.20,1.50,1.31,2.89,1.31,2.89,44,52.8,1015.2
87173,1701779400,8.10,7.10,12.41,12.24,12.41,12.24,44,56,1015.724
87173,1701750600,1.20,1.50,1.33,2.83,1.33,2.83,45,53,1011.478
87173,1701902400,7.10,6.60,12.38,12.11,12.38,12.11,39.2,54,1016.786
87173,1701828600,5.40,4.90,8.37,9.10,8.37,9.10,42,54.8,1017.48
87173,1701847800,5.30,5.00,7.96,8.85,7.96,8.85,39.8,58.6,1016.566
87173,1701812400,5.80,5.20,8.98,10.12,8.98,10.12,44,53,1017.122
87173,1701768600,1.50,1.70,1.82,3.01,1.82,3.01,43.2,53.8,1014.278
87173,1701771000,1.50,1.90,1.86,3.36,1.86,3.36,43,53.8,1014.73
87173,1701819000,5.60,5.30,8.52,9.43,8.52,9.43,41.8,55,1017.12
87173,1701773400,1.30,1.60,1.57,2.78,1.57,2.78,44,54,1014.86
87173,1701878400,5.40,5.00,8.02,9.37,8.02,9.37,42,55.8,1016.456
87173,1701882600,5.20,4.90,7.78,9.39,7.78,9.39,41.2,52.6,1015.934
