sensor_index,time_stamp,pm2.5_alt_a,pm2.5_alt_b,temperature,humidity,pressure
164351,1688787600,6.50,7.50,80,69,1012.596
164351,1688857800,9.50,10.00,94.2,44,1009.958
164351,1688845800,9.40,10.00,96.4,39.4,1010.738
164351,1688793600,9.40,9.90,79,70,1012.648
164351,1688778600,6.40,6.80,81,68,1012.242
164351,1688812800,9.20,9.80,79.6,67.2,1013.284
164351,1688782800,7.10,7.70,81,69,1012.394
164351,1688814000,7.90,8.90,79.6,65.4,1013.448
164351,1688779200,6.10,6.90,81,68,1012.216
164351,1688828400,9.90,11.00,86.6,54.6,1012.894
164351,1688797200,8.40,8.90,79,71,1012.85
164351,1688836200,13.00,14.20,92,47.8,1012.61
164351,1688832600,12.70,13.90,87.4,53.2,1012.938
164351,1688854200,7.50,8.30,96.6,36.4,1009.808
164351,1688777400,6.80,7.70,82,67.4,1012.322
164351,1688857200,9.00,9.90,95.2,41.2,1009.968
164351,1688799000,9.00,9.10,79,71,1012.952
164351,1688796000,8.00,8.70,79,71,1012.848
164351,1688791800,9.70,10.90,79,69.6,1012.704
164351,1688670000,15.30,16.40,102.4,31.6,1012.168
164351,1688684400,14.70,16.10,101.8,33.8,1011.07
164351,1688653200,23.20,24.90,90.2,53.8,1015.112
164351,1688655000,22.40,23.90,92.6,49.8,1015.004
164351,1688657400,18.30,20.80,95.2,43.6,1014.63
164351,1688683200,14.70,15.90,101.6,33.4,1010.878
164351,1688649600,20.10,22.10,87,55.25,1015.485
164351,1688678400,13.70,15.20,105.2,30.2,1010.978
164351,1688666400,14.90,17.00,99.4,35.6,1012.93
164351,1688761200,7.50,8.70,86,60.2,1010.882
164351,1688739000,12.50,14.00,87,57,1011.948
164351,1688743800,13.00,14.80,93.4,47.8,1011.308
164351,1688752200,14.20,15.40,90,54.4,1010.4
164351,1688734200,12.60,13.70,83.6,61.2,1012.552
164351,1688764200,8.00,8.60,86.2,59.4,1011.514
164351,1688706600,12.30,13.50,84.2,55.2,1011.602
164351,1688700000,16.90,17.70,87,55.2,1011.722
164351,1688742600,13.70,14.60,91.2,51.2,1011.392
164351,1688759400,7.50,7.90,86,60.2,1010.796
164351,1688737800,12.90,13.90,86.4,57.8,1012.082
164351,1688706000,13.20,14.30,84.6,55,1011.6
164351,1688703600,13.80,14.60,86,53.2,1011.612
164351,1688692800,16.40,17.20,90,49.4,1011.538
164351,1688689800,15.70,16.60,91.8,46.6,1011.204
164351,1688745600,12.50,14.10,95.4,42.8,1010.938
164351,1688760000,7.60,7.90,86.8,58.8,1010.686
164351,1688741400,14.50,15.30,89.2,54.6,1011.648
164351,1688688000,15.60,17.00,93,45,1011.336
164351,1688689200,15.60,17.00,92,46.2,1011.21
164351,1688880600,14.80,16.90,82,65.6,1011.142
164351,1688887800,15.70,16.40,81,68,1011.352
164351,1688884200,14.50,16.30,81.8,66.6,1011.044
164351,1688896200,15.80,17.00,81,69,1011.288
164351,1688875800,15.50,16.30,83,65,1011.228
164351,1688891400,16.10,16.90,81,69,1011.288
164351,1688868000,11.10,12.10,85,60.6,1010.198
164351,1688870400,12.40,14.20,84,62,1010.16
164351,1688875200,15.20,15.80,83,65,1011.278
164351,1688889000,15.90,17.40,81,69,1011.232
164351,1688841000,9.90,10.50,95,40.2,1011.574
164351,1688782200,7.10,7.90,81,69,1012.384
164351,1688831400,11.40,12.60,87.4,53.2,1013.038
164351,1688818800,10.70,11.10,78.4,67.2,1014.032
164351,1688841600,10.00,11.00,94.2,41.8,1011.458
