sensor_index,time_stamp,pm2.5_alt_a,pm2.5_alt_b,temperature,humidity,pressure
164351,1686021000,37.60,41.50,68.6,45,1010.406
164351,1686053400,52.20,59.30,66,50.6,1007.392
164351,1686029400,38.50,42.80,66.4,53.2,1009.29
164351,1686036600,37.70,41.60,62,57.6,1008.564
164351,1686043800,40.70,45.30,61,59.4,1008.362
164351,1686038400,37.60,42.30,62,58,1008.408
164351,1686022200,39.70,43.40,68,47.2,1010.41
164351,1686035400,37.90,41.50,62.6,57,1008.566
164351,1686043200,39.50,45.00,61,59,1008.356
164351,1686016200,27.40,28.90,71,43.2,1010.768
164351,1685956200,2.20,2.60,58,63,1016.162
164351,1685930400,2.00,2.40,67,43,1018.158
164351,1685984400,2.80,3.30,84.8,26.8,1011.956
164351,1685998800,4.70,5.10,87.8,24,1009.592
164351,1686004200,10.80,11.70,81.8,28.6,1009.688
164351,1685996400,3.60,3.80,86,26.2,1009.868
164351,1685925000,1.50,1.80,67.8,41,1018.15
164351,1685968200,2.20,2.80,66,55.6,1015.662
164351,1685923800,1.70,2.00,68,41,1018.284
164351,1685983800,2.80,3.30,83.2,27.4,1012.166
164351,1685969400,2.00,2.40,67,51.8,1015.492
164351,1685974200,2.20,2.70,69,47.6,1014.848
164351,1686006000,9.40,10.70,81,30,1009.64
164351,1685955600,2.00,2.50,58.2,63,1016.12
164351,1685965800,2.70,2.90,63.4,58.2,1015.9
164351,1685956800,2.20,2.60,58,64,1016.116
164351,1685964000,2.70,2.90,61.8,61,1016.03
164351,1685961000,2.30,2.80,60,64,1016.08
164351,1686001800,9.20,10.30,83.2,26.8,1009.76
164351,1685959800,2.20,2.70,59,64,1016.17
164351,1685929200,1.70,1.80,67,42.6,1018.218
164351,1685943000,2.60,2.80,64,53.2,1016.748
164351,1685795400,4.30,4.90,66.6,58.2,1017.728
164351,1685824200,1.80,1.90,74,49,1019.204
164351,1685830200,0.80,0.90,74.8,45.2,1019.76
164351,1685834400,0.80,1.00,74,42,1020.348
164351,1685808600,3.40,3.90,68.2,57,1019.412
164351,1685818800,1.80,2.10,72.2,50,1019.376
164351,1685800800,3.90,4.20,65.6,66.6,1018.664
164351,1685860800,2.40,2.70,58,65,1020.602
164351,1685899800,1.30,1.60,71.4,33.2,1017.908
164351,1685844000,1.80,2.10,67,52,1021.69
164351,1685850600,2.40,2.80,63,57.2,1021.654
164351,1685887800,4.70,5.40,67.8,39.6,1018.646
164351,1685854800,2.70,2.90,60.4,61,1021.412
164351,1685881800,6.90,7.80,62.6,53.2,1019.668
164351,1685862000,5.10,4.90,58,65,1020.566
164351,1685892000,3.00,3.60,70,35.6,1018.48
164351,1685872200,3.30,3.60,55,67,1020.146
164351,1685894400,1.60,1.90,71.6,31.6,1018.584
164351,1685875200,5.40,6.20,57,67.6,1020.046
164351,1685864400,7.70,8.10,57,65,1020.548
164351,1685907600,1.40,1.70,74,30.8,1017.538
164351,1685871000,3.80,3.90,55,67,1020.218
164351,1685892600,2.80,3.10,71,33.6,1018.382
164351,1685857200,2.30,2.40,59,63.2,1021.24
164351,1685861400,2.70,2.70,58,65,1020.518
164351,1685839800,1.30,1.60,68,50,1021.206
164351,1685869200,4.90,5.20,56,67,1020.234
164351,1685866200,3.70,4.00,56,65.8,1020.548
164351,1685845200,3.00,3.30,66.6,51,1021.752
164351,1685881200,7.90,8.70,62,55.6,1019.652
164351,1685893800,2.00,2.10,72,31.4,1018.446
164351,1685842200,5.90,5.50,68,50,1021.68
164351,1686015000,23.50,24.70,72,42.8,1010.668
164351,1686019800,37.10,40.50,69,43,1010.51
164351,1686037200,37.40,41.80,62,58,1008.582
164351,1686041400,39.30,43.50,61.6,58,1008.276
