sensor_index,time_stamp,pm2.5_alt_a,pm2.5_alt_b,temperature,humidity,pressure
164351,1680415200,1.10,1.50,49.8,59,1000.866
164351,1680436200,1.70,2.00,39.8,49.4,1014.264
164351,1680479400,2.10,2.40,47,21,1019.92
164351,1680420000,1.50,1.60,47,61,1004.764
164351,1680463200,1.40,1.60,61.6,13.2,1017.696
164351,1680448800,1.50,1.70,47.2,24.4,1017.742
164351,1680408600,3.00,3.40,55,58.4,998.036
164351,1680403200,4.80,4.80,57,63,996.926
164351,1680421200,1.20,1.20,46.2,60.2,1005.556
164351,1680456600,1.50,1.60,55.6,17,1017.7
164351,1680394800,2.20,2.30,60,55.4,996.424
164351,1680436800,1.90,2.20,39.8,48.2,1014.594
164351,1680432600,1.80,2.00,40.8,52,1012.568
164351,1680397800,3.70,4.00,59,58.6,996.794
164351,1680423600,1.30,1.40,46,57.4,1006.956
164351,1680435600,1.70,2.10,40,50.6,1013.988
164351,1680475800,2.60,2.80,53.2,16.4,1019.416
164351,1680444000,1.00,1.20,42,29.8,1016.794
164351,1680412800,1.60,2.00,51,57.8,999.786
164351,1680451800,1.50,1.60,51,21,1017.586
164351,1680395400,2.40,2.60,60.6,55.6,996.116
164351,1680430200,1.90,2.00,42,54,1010.948
164351,1680468000,2.50,2.80,64.2,10.4,1017.856
164351,1680525600,2.10,2.30,43,29.8,1022.598
164351,1680495000,2.90,3.10,40.8,36.8,1022.666
164351,1680483600,1.90,2.00,45,25,1021.214
164351,1680528600,1.70,2.10,47,23.6,1021.414
164351,1680512400,3.70,4.00,37,49,1021.466
164351,1680480000,2.30,2.50,46.2,21,1020.366
164351,1680538200,2.20,2.70,55.4,21,1017.564
164351,1680532200,1.70,2.00,50.6,21.2,1020.304
164351,1680528000,1.90,2.20,46.2,24.4,1021.716
164351,1680553200,3.40,3.70,71.4,19.4,1012.63
164351,1680541800,2.60,3.20,60.2,20,1016.068
164351,1680494400,3.50,3.60,40.8,35.8,1022.568
164351,1680540600,2.40,2.80,58.6,21,1016.38
164351,1680562800,3.30,3.70,65.8,27.2,1012.052
164351,1680550200,4.00,4.60,68,20,1013.324
164351,1680526800,2.00,2.20,44.6,26.6,1022.108
164351,1680535800,2.00,2.50,53.8,21,1018.934
164351,1680497400,2.70,3.00,40,39.4,1022.838
164351,1680486600,2.30,2.50,44,25.6,1022.202
164351,1680565800,3.30,3.50,65.2,29,1013.05
164351,1680364200,6.60,7.50,61.2,73.8,995.56
164351,1680380400,2.00,2.10,86,18,990.712
164351,1680381000,1.90,2.00,85.2,18.4,990.742
164351,1680378600,2.00,2.30,84.6,19.2,990.3
164351,1680373200,5.10,5.40,77.2,44.8,993.228
164351,1680354000,11.60,13.90,56.8,75.4,999.498
164351,1680371400,5.30,6.00,73.2,52.4,994.08
164351,1680370200,6.10,6.80,71.8,58.2,994.742
164351,1680382800,2.10,2.40,87,16,990.054
164351,1680367200,6.30,6.90,64.2,69.6,995.652
164351,1680379800,2.10,2.20,85.4,18.6,990.516
164351,1680367800,7.90,8.40,64.4,69.6,995.454
164351,1680377400,3.30,3.70,82.4,29,990.968
164351,1680357000,11.70,13.00,59.4,74.2,998.236
164351,1680366000,5.80,6.10,64,70.4,995.886
164351,1680362400,13.50,14.90,59.6,76,996.5
164351,1680358200,9.70,11.50,60,73.4,998.086
164351,1680580200,3.00,3.20,60.8,41,1017.342
164351,1680609600,6.50,6.90,55.2,63,1019.458
164351,1680589200,1.70,1.90,59,41,1017.26
164351,1680598200,2.90,2.80,57,49.2,1018.658
164351,1680585000,1.80,2.00,60,38,1017.66
164351,1680594000,2.40,2.70,57.8,44,1017.274
164351,1680608400,5.40,5.70,55,62.6,1019.732
164351,1680574800,2.20,2.50,62.6,37,1017.156
164351,1680607200,3.70,4.40,55,62.4,1019.316
164351,1680583200,1.80,1.90,60.2,39,1017.648
164351,1680581400,2.40,2.60,61,40,1017.638
164351,1680583800,1.90,2.30,60.8,38.8,1017.704
164351,1680423000,1.10,1.40,45.833,58.667,1006.377
164351,1680402600,3.30,3.90,57,62.8,997.04
164351,1680445800,2.20,2.60,44.4,27,1017.416
164351,1680406200,3.20,3.40,57,62.2,997.382
164351,1680398400,4.20,4.20,59,59.2,996.924
164351,1680427200,2.10,2.40,44,56.4,1009.264
164351,1680406800,3.00,3.20,57,59.8,997.5
164351,1680399600,2.70,2.80,58.6,59.4,997.216
164351,1680478800,2.30,2.40,47,20.6,1019.658
164351,1680414000,1.50,1.60,50.6,57.4,1000.362
164351,1680438000,1.60,1.90,39,45.8,1014.96
164351,1680444600,1.00,1.20,43,28.8,1017.05
164351,1680421800,1.10,1.30,46,60,1005.744
164351,1680418200,1.90,2.20,47,64,1003.154
164351,1680455400,1.40,1.60,54.4,17.2,1017.788
164351,1680416400,2.40,2.40,49,62.8,1001.786
164351,1680463800,1.30,1.40,63.2,12.6,1017.616
164351,1680420600,1.10,1.10,47,60.8,1005.19
164351,1680557400,2.90,3.20,69,23,1011.944
164351,1680522000,4.00,4.30,39,44.4,1023.398
164351,1680561600,3.80,4.50,66,27,1011.954
164351,1680555600,2.70,3.00,70.4,21.2,1011.794
164351,1680518400,3.50,4.10,36.4,52,1023.276
164351,1680505200,2.60,3.30,38,46,1022.32
164351,1680501600,2.30,2.60,38.2,44.6,1022.744
164351,1680526200,1.90,2.30,43.6,28.2,1022.47
164351,1680514800,3.80,4.00,36.8,49,1021.924
164351,1680541200,2.70,2.80,59.6,20.4,1016.252
164351,1680565200,3.40,3.50,65.2,28.6,1012.898
164351,1680491400,2.20,2.40,43,31,1022.25
164351,1680490200,1.90,2.20,43,28.2,1022.228
164351,1680544200,3.30,3.50,62.6,20,1015.584
164351,1680562200,3.50,3.90,66,27,1011.962
164351,1680553800,4.00,4.10,71.2,19.8,1012.356
164351,1680534600,2.10,2.10,53.4,20,1019.592
164351,1680529800,1.90,2.10,47.4,22.4,1020.81
164351,1680552000,4.00,4.90,68.8,20,1012.836
164351,1680488400,1.70,2.10,44,27,1021.986
164351,1680492000,2.10,2.30,42,31.8,1022.326
164351,1680551400,4.00,4.50,69,20,1012.878
164351,1680508800,3.20,3.40,37,49.6,1021.87
164351,1680556200,2.90,3.20,69.8,22,1012.056
164351,1680495600,2.80,3.20,40,37.8,1022.634
164351,1680552600,3.50,4.00,69.8,20,1012.758
164351,1680387600,1.50,1.50,72.2,27.4,992.882
164351,1680375000,4.00,4.40,77.4,39,992.212
164351,1680361200,13.30,15.50,59,75.6,998.202
164351,1680373800,4.70,5.00,77.2,42.8,992.998
164351,1680363000,10.70,12.40,60.2,75.2,996.086
164351,1680368400,7.40,8.30,66.2,68.4,995.326
164351,1680393000,1.60,1.80,60,62.8,996.646
164351,1680386400,1.80,2.10,76.2,23.6,990.572
