id,time_stamp,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b,temperature,humidity,pressure
156171,1714941600,0.40,0.30,0.16,0.00,0.16,0.00,56,67.2,1017.76
156171,1714926000,0.70,0.70,0.39,0.27,0.39,0.27,55,67.2,1019.644
156171,1714900800,2.10,2.00,2.91,2.73,2.91,2.73,55,64,1021.824
156171,1714975800,0.40,0.30,0.06,0.01,0.06,0.01,56,66,1015.18
156171,1715029200,3.50,3.40,4.48,5.04,4.48,5.04,74,49.8,1008.534
156171,1714972200,0.30,0.30,0.00,0.00,0.00,0.00,56,66,1015.54
156171,1714880400,1.60,1.40,1.91,1.70,1.91,1.70,63.6,45.8,1021.976
156171,1714908600,2.00,1.80,2.82,2.26,2.82,2.26,54.6,66.8,1021.34
156171,1714914600,1.00,0.80,0.81,0.48,0.81,0.48,54,67,1020.942
156171,1714905600,1.90,1.80,2.46,2.14,2.46,2.14,55,65.2,1021.592
156171,1714887600,2.50,2.60,3.76,3.60,3.76,3.60,60.4,50,1022.196
156171,1715035800,3.50,3.90,5.25,5.80,5.25,5.80,74,49.4,1007.934
156171,1714967400,0.30,0.20,0.00,0.00,0.00,0.00,56,66.6,1016.454
156171,1715017800,4.00,4.30,5.91,6.25,5.91,6.25,71,55.8,1011.062
156171,1715022000,3.60,3.60,5.20,5.07,5.20,5.07,74.2,51.6,1009.872
156171,1714975200,0.40,0.30,0.06,0.04,0.06,0.04,56,66,1015.31
156171,1714976400,0.50,0.40,0.10,0.06,0.10,0.06,56,66,1015.046
156171,1714964400,0.30,0.20,0.11,0.00,0.11,0.00,56,67,1017.132
156171,1714971600,0.20,0.20,0.00,0.00,0.00,0.00,56,66,1015.608
156171,1714903200,2.20,1.80,3.01,2.12,3.01,2.12,55,65,1021.68
156171,1714931400,0.80,0.50,0.66,0.18,0.66,0.18,56,68,1019.056
156171,1714932600,0.70,0.60,0.44,0.17,0.44,0.17,56,68,1018.784
156171,1714881000,1.70,1.50,2.03,2.00,2.03,2.00,63.2,46,1022.032
156171,1714923000,0.60,0.50,0.25,0.03,0.25,0.03,56,66.8,1020.072
156171,1715005200,2.90,2.90,4.39,4.02,4.39,4.02,60.8,63,1013.904
156171,1714963800,0.20,0.10,0.00,0.00,0.00,0.00,56,67.2,1017.244
156171,1714961400,0.20,0.20,0.00,0.00,0.00,0.00,55.6,67.6,1017.498
156171,1714954800,0.40,0.30,0.05,0.00,0.05,0.00,56,67.8,1017.658
156171,1714920000,0.80,0.70,0.75,0.37,0.75,0.37,55,67,1020.274
156171,1714929600,4.00,4.00,6.18,6.06,7.07,6.86,56,68,1019.262
156171,1714947600,0.70,0.50,0.32,0.24,0.32,0.24,56,66.8,1017.616
156171,1714942200,0.50,0.40,0.11,0.09,0.11,0.09,55.8,67.2,1017.708
156171,1714945200,0.40,0.30,0.11,0.04,0.11,0.04,56,66.8,1017.676
156171,1715020800,3.70,3.80,5.54,5.58,5.54,5.58,74,52.4,1010.164
156171,1714960800,0.20,0.10,0.00,0.00,0.00,0.00,55.2,68,1017.592
