id,time_stamp,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b,temperature,humidity,pressure
156051,1700688600,1.50,1.60,1.89,2.10,1.89,2.10,51,59,1005.09
156051,1700694600,4.70,4.30,7.39,8.01,7.39,8.01,52.4,58,1005.296
156051,1700628000,2.20,2.00,2.95,2.95,2.95,2.95,44.4,55,1018.858
156051,1700674800,3.40,3.60,5.66,6.74,5.66,6.74,49,60.8,1006.416
156051,1700696400,4.50,4.30,6.84,8.00,6.84,8.00,52,57.8,1005.616
156051,1700645400,0.70,0.80,0.71,0.80,0.71,0.80,47.8,55.2,1012.916
156051,1700657400,4.90,4.80,9.06,10.08,9.06,10.08,44,60.4,1010.854
156051,1700652600,4.60,4.00,7.87,8.24,7.87,8.24,43.8,60.4,1011.594
156051,1700772600,5.60,5.10,8.93,9.49,8.93,9.49,54.4,41.2,1011.676
156051,1700752800,1.00,1.10,1.00,1.21,1.00,1.21,50.8,47,1012.152
156051,1700715000,8.60,7.80,15.00,15.86,15.00,15.86,52,57,1005.956
156051,1700736000,0.30,0.40,0.01,0.04,0.01,0.04,49.2,52,1009.198
156051,1700764800,3.10,3.20,4.57,5.54,4.57,5.54,54.4,42.8,1010.74
156051,1700766600,3.40,3.60,4.95,6.16,4.95,6.16,55.4,41,1010.676
156051,1700759400,2.80,3.00,4.05,5.18,4.05,5.18,51.2,46,1011.19
156051,1700754600,1.00,1.10,0.87,1.25,0.87,1.25,52,45.6,1011.96
156051,1700722200,9.30,8.50,16.39,17.60,16.39,17.60,52.6,56,1006.8
156051,1700740800,0.60,0.70,0.15,0.50,0.15,0.50,48,53,1010.31
156051,1700737200,0.40,0.50,0.04,0.09,0.04,0.09,49.2,51.8,1009.368
156051,1700649600,4.60,4.50,8.32,9.40,8.32,9.40,44.8,58.2,1012.378
156051,1700661000,5.30,4.70,9.80,10.59,9.80,10.59,43.8,61.8,1009.84
156051,1700631600,3.70,3.60,6.70,7.22,6.70,7.22,45,54.8,1017.694
156051,1700769600,4.50,4.40,6.96,7.58,6.96,7.58,54.8,41,1011.038
156051,1700776800,5.20,5.30,7.99,9.88,7.99,9.88,55,42.6,1012.2
