id,time_stamp,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b,temperature,humidity,pressure
151502,1682034600,3.40,4.00,5.96,5.94,5.96,5.94,66.4,24.4,1017.124
151502,1681990200,2.80,2.90,4.87,4.64,4.87,4.64,49,45,1022.718
151502,1682022000,2.50,2.80,3.57,3.93,3.57,3.93,70,22,1017.904
151502,1681984200,3.20,3.50,5.92,5.86,5.92,5.86,46.2,48,1021.964
151502,1681960800,7.10,7.50,15.78,16.48,15.78,16.48,45.8,51.2,1020.862
151502,1682011200,2.00,1.90,2.75,2.26,2.75,2.26,67,28.2,1019.518
151502,1682030400,3.90,4.20,6.46,6.73,6.46,6.73,70.8,17,1016.91
151502,1681974600,2.00,2.20,3.20,3.17,3.20,3.17,45.6,47,1021.536
151502,1682022600,2.50,2.90,3.58,3.99,3.58,3.99,70,22.4,1017.766
151502,1681996200,2.20,2.10,3.14,2.91,3.14,2.91,52.2,38.2,1023.336
151502,1681950600,3.00,3.00,5.32,4.90,5.32,4.90,46.8,46,1019.724
151502,1681971000,2.20,2.10,3.85,3.20,3.85,3.20,46,46,1021.154
151502,1681977000,2.70,2.90,5.23,5.07,5.23,5.07,46,47.2,1021.696
151502,1682031000,4.10,4.80,6.62,7.80,6.62,7.80,71,17,1016.916
151502,1681956600,3.40,3.70,6.81,6.90,6.81,6.90,46.8,47.8,1020.258
151502,1681966800,3.00,3.10,5.69,5.12,5.69,5.12,46,52.2,1021.054
151502,1681959600,2.20,2.40,3.55,4.10,3.55,4.10,45.4,51,1020.63
151502,1681969800,2.10,2.20,3.33,3.29,3.33,3.29,46,47,1021.044
151502,1681986600,3.00,3.00,5.60,5.04,5.60,5.04,46.4,48,1022.278
151502,1681987200,2.90,3.00,5.60,5.17,5.60,5.17,47,48,1022.468
151502,1681953600,2.50,2.80,4.65,4.29,4.65,4.29,46,47,1020.202
151502,1682003400,2.80,2.90,4.21,4.19,4.21,4.19,57,35,1022.284
151502,1681998000,2.20,2.50,3.17,3.51,3.17,3.51,52.8,37,1023.202
151502,1682016600,2.40,2.60,3.55,3.63,3.55,3.63,69.8,25,1018.878
151502,1681902000,2.60,2.60,3.92,3.71,3.92,3.71,49,46,1013.122
151502,1681911600,2.80,2.90,4.16,4.10,4.16,4.10,51,42.4,1014.344
151502,1681913400,1.90,2.00,2.70,2.91,2.70,2.91,49.6,43.6,1014.676
151502,1681925400,0.60,0.60,0.47,0.28,0.47,0.28,50.4,47.4,1015.884
151502,1681867200,1.30,1.30,1.34,1.32,1.34,1.32,49.8,50,1009.618
151502,1681903800,2.50,2.90,3.89,4.61,3.89,4.61,48.4,45.4,1013.502
151502,1681876200,0.50,0.40,0.14,0.09,0.14,0.09,49,49.2,1011.166
151502,1681944600,2.90,3.20,4.85,5.83,4.85,5.83,47.8,48,1018.392
151502,1681901400,2.40,2.70,3.63,4.15,3.63,4.15,49,46,1012.944
151502,1681899600,2.00,2.30,2.93,3.19,2.93,3.19,49,46,1012.462
151502,1681866600,1.50,1.60,2.03,1.91,2.03,1.91,49.2,50,1009.386
151502,1681927800,1.00,0.80,0.80,0.60,0.80,0.60,50.8,46,1015.932
151502,1681884000,0.60,0.70,0.14,0.35,0.14,0.35,47,47,1011.476
151502,1681908000,2.80,3.10,4.81,4.63,4.81,4.63,51,45,1013.638
151502,1681872600,1.40,1.40,1.85,1.73,1.85,1.73,49.8,52.2,1010.808
151502,1681930800,1.00,0.90,0.89,0.75,0.89,0.75,50.8,42.4,1015.91
151502,1681900200,4.50,4.90,8.67,9.37,8.67,9.37,48.4,46,1012.638
151502,1681897200,2.00,2.00,2.73,2.31,2.73,2.31,48.2,47,1012.116
151502,1682057400,1.30,1.50,1.63,1.98,1.63,1.98,55.2,39.8,1018.26
151502,1682075400,1.30,1.30,1.56,1.61,1.56,1.61,54.6,42,1017.42
151502,1682101800,5.00,5.30,8.35,8.34,8.35,8.34,84.6,25.4,1011.818
151502,1682063400,1.20,1.30,1.38,1.42,1.38,1.42,53.2,41,1018.136
151502,1682103000,4.90,5.20,8.25,7.87,8.25,7.87,84.6,25.2,1011.438
151502,1682076000,1.20,1.40,1.48,1.53,1.48,1.53,55,42,1017.214
151502,1682043600,4.30,4.50,7.36,7.39,7.36,7.39,60.2,35,1018.296
151502,1682112000,4.10,4.80,6.81,7.46,6.81,7.46,82,24,1010.258
151502,1682104200,4.40,4.80,7.53,7.42,7.53,7.42,85,24.2,1011.154
151502,1682074800,1.20,1.10,1.37,1.28,1.37,1.28,54,42.6,1017.554
151502,1682035200,3.70,3.70,5.77,5.64,5.77,5.64,65.8,25.2,1017.272
151502,1682050200,2.40,2.40,3.38,3.63,3.38,3.63,57,40,1018.372
151502,1682070600,1.60,1.50,2.37,1.76,2.37,1.76,53,41,1017.958
151502,1682040000,3.60,4.00,6.18,6.12,6.18,6.12,61,33,1017.892
151502,1682068200,1.00,1.30,1.05,1.23,1.05,1.23,54,40.2,1017.944
151502,1682073000,1.30,1.10,1.35,1.37,1.35,1.37,53,41.8,1018.034
151502,1682061600,1.20,1.20,1.11,1.58,1.11,1.58,54,40.6,1018.414
151502,1682119200,4.90,4.90,7.77,7.65,7.77,7.65,76.4,30.6,1010.78
151502,1682060400,1.30,1.20,1.59,1.44,1.59,1.44,54.8,40,1018.3
151502,1682098800,4.70,5.20,7.59,8.07,7.59,8.07,82.6,27.2,1012.25
151502,1682047200,4.50,5.30,7.67,8.07,7.67,8.07,59.4,38,1018.18
151502,1682112600,4.20,4.60,6.80,7.11,6.80,7.11,81.4,24,1010.29
151502,1682114400,4.00,4.60,6.55,6.97,6.55,6.97,81,24.8,1010.328
151502,1681963800,2.80,2.90,5.16,5.56,5.16,5.56,45.4,53,1020.828
151502,1681981800,2.40,2.70,4.34,4.79,4.34,4.79,46,48,1022.002
151502,1681970400,1.70,1.90,2.23,2.44,2.23,2.44,46,46,1021.222
151502,1682019000,2.40,2.90,3.38,3.89,3.38,3.89,71,23.6,1018.262
151502,1682009400,2.10,2.10,2.87,2.84,2.87,2.84,63.6,31,1020.158
151502,1681990800,3.00,3.30,5.46,5.70,5.46,5.70,49,45,1022.702
151502,1681951800,3.10,3.30,5.80,5.55,5.80,5.55,47,46.2,1020.012
151502,1682017800,2.40,2.60,3.26,3.61,3.26,3.61,69.8,24.4,1018.442
151502,1682018400,2.40,2.60,3.20,3.38,3.20,3.38,70.8,25.2,1018.344
151502,1681992600,2.60,2.70,4.40,4.29,4.40,4.29,49.4,43.2,1022.96
151502,1681975800,2.50,2.60,4.37,4.65,4.37,4.65,46,47,1021.62
151502,1681957200,3.20,3.40,6.19,6.40,6.19,6.40,46,49,1020.436
151502,1682020200,2.40,2.90,3.42,3.78,3.42,3.78,71,23,1018.196
151502,1681952400,3.20,3.50,6.17,5.40,6.17,5.40,46.4,47,1020.032
151502,1681989600,3.00,3.20,5.10,5.81,5.10,5.81,49,45.4,1022.752
151502,1681950000,2.90,3.10,5.47,5.51,5.47,5.51,47,46.2,1019.54
151502,1682008200,2.20,2.40,3.21,3.12,3.21,3.12,62,30,1020.506
151502,1682000400,2.60,2.90,3.86,4.17,3.86,4.17,55,35.8,1022.998
151502,1682014800,2.20,2.30,2.94,2.61,2.94,2.61,67.2,27.2,1019.14
151502,1682024400,2.70,3.00,4.19,4.22,4.19,4.22,70.8,21.6,1017.49
151502,1682019600,2.90,3.30,4.59,4.75,4.59,4.75,70.8,23.4,1018.204
151502,1681969200,2.30,2.30,3.56,3.63,3.56,3.63,46,47,1020.876
151502,1682005200,2.20,2.50,2.92,3.48,2.92,3.48,58,32.4,1021.724
151502,1681965600,3.50,3.60,7.07,6.63,7.07,6.63,45,53.4,1020.722
151502,1681951200,3.80,3.90,7.31,7.07,7.31,7.07,47,46.6,1019.908
151502,1682025600,2.80,3.40,4.47,4.80,4.47,4.80,71,20.4,1017.232
151502,1681978200,2.50,2.90,4.19,4.68,4.19,4.68,46,47.6,1021.838
151502,1681864200,1.10,1.20,1.31,1.26,1.31,1.26,49.8,50.4,1008.306
151502,1681905600,2.50,2.80,3.70,4.28,3.70,4.28,50,45,1013.654
151502,1681941600,2.50,2.60,3.96,3.73,3.96,3.73,48.6,49,1017.766
151502,1681909800,2.90,3.10,4.46,4.32,4.46,4.32,51.4,43.2,1013.778
151502,1681920600,1.00,1.00,0.98,0.85,0.98,0.85,49,51,1015.566
151502,1681936800,1.10,1.30,1.28,1.29,1.28,1.29,49.2,47,1016.792
151502,1681911000,2.50,2.90,3.89,4.14,3.89,4.14,51.2,42,1014.136
151502,1681889400,0.90,1.00,0.74,0.78,0.74,0.78,46,48.2,1011.602
151502,1681936200,1.10,1.20,1.22,1.18,1.22,1.18,49.4,46,1016.736
151502,1681917000,1.70,1.90,2.08,2.53,2.08,2.53,50.6,45.2,1015.056
151502,1681872000,0.60,0.50,0.34,0.24,0.34,0.24,48.8,53,1010.696
151502,1681947600,2.90,3.10,5.65,4.90,5.65,4.90,47.2,47,1018.88
151502,1681938000,1.30,1.50,1.74,1.71,1.74,1.71,48.2,48.4,1017.064
151502,1681930200,1.00,0.90,0.86,0.76,0.86,0.76,52,41.2,1015.838
151502,1681869600,0.40,0.50,0.14,0.14,0.14,0.14,48.4,53.8,1010.332
151502,1681946400,3.20,3.60,6.10,6.14,6.10,6.14,47.2,47.6,1018.524
151502,1681933800,1.00,1.00,1.05,0.93,1.05,0.93,50,44.2,1016.33
151502,1681873800,0.50,0.60,0.17,0.21,0.17,0.21,49.6,51.6,1010.91
151502,1681942200,3.10,3.20,5.20,5.41,5.20,5.41,48.4,49,1017.894
151502,1681902600,2.60,2.40,3.78,3.66,3.78,3.66,48.8,45.4,1013.242
151502,1681924800,0.60,0.70,0.29,0.46,0.29,0.46,49.2,49,1015.91
151502,1681876800,0.40,0.40,0.02,0.05,0.02,0.05,49,49,1011.182
151502,1681897800,2.20,2.20,2.92,3.35,2.92,3.35,48,46.2,1012.178
151502,1681894800,4.00,4.20,7.78,7.39,7.96,7.65,48,47.8,1011.9
151502,1681928400,0.90,0.90,0.79,1.06,0.79,1.06,52,44.4,1015.862
151502,1681898400,2.00,2.00,2.85,2.63,2.85,2.63,48.6,46,1012.248
151502,1681900800,2.90,3.00,5.22,4.86,5.22,4.86,48.6,46,1012.788
151502,1681907400,2.80,3.10,4.50,4.62,4.50,4.62,50.6,44.6,1013.61
151502,1681945800,3.50,3.60,6.54,6.16,6.54,6.16,47,48,1018.612
151502,1681890000,0.90,0.80,0.65,0.58,0.65,0.58,46,49.4,1011.674
151502,1681870200,0.60,0.50,0.04,0.21,0.04,0.21,49,52.2,1010.442
151502,1681861200,0.80,0.80,0.68,0.50,0.68,0.50,53.6,37.4,1007.174
151502,1682076600,1.50,1.30,1.97,1.58,1.97,1.58,55.4,41.2,1017.306
151502,1682049000,2.80,2.80,3.79,3.80,3.79,3.80,58,39,1018.298
151502,1682080200,3.00,3.50,5.23,5.05,5.23,5.05,59,37.8,1016.876
151502,1682046600,4.60,4.90,7.87,7.88,7.87,7.88,59.4,37.2,1018.286
151502,1682037000,4.80,5.20,8.31,9.32,8.31,9.32,64,27.2,1017.326
151502,1682119800,4.50,4.70,7.77,7.13,7.77,7.13,75.4,31.6,1010.93
151502,1682093400,4.40,5.00,7.04,7.61,7.04,7.61,77.8,28.6,1014.126
151502,1682053800,1.80,1.90,2.44,2.49,2.44,2.49,55,41,1018.118
151502,1682069400,1.20,1.00,1.35,1.12,1.35,1.12,54,40.2,1017.794
151502,1682103600,4.50,4.80,7.42,7.48,7.42,7.48,85,25,1011.296
151502,1682086800,4.00,4.70,6.68,7.40,6.68,7.40,65,33,1015.978
151502,1682100000,4.80,5.20,7.88,8.34,7.88,8.34,83.8,26.6,1012.132
151502,1682083200,4.00,4.60,7.35,7.71,7.35,7.71,62.2,36,1016.368
151502,1682074200,1.20,1.30,1.66,1.48,1.66,1.48,54,42,1017.68
151502,1682110200,4.20,4.50,7.08,7.08,7.08,7.08,82,24,1010.224
151502,1682077200,1.60,1.60,2.31,1.96,2.31,1.96,56.2,40.6,1017.46
151502,1682064000,1.20,1.10,1.34,1.23,1.34,1.23,53.8,40.8,1018.044
151502,1682035800,3.80,4.30,6.18,6.99,6.18,6.99,65,25.6,1017.312
151502,1682100600,4.50,5.50,7.47,8.72,7.47,8.72,84,26.2,1012.048
151502,1682088600,3.40,3.90,5.29,5.66,5.29,5.66,67.4,32.8,1015.522
151502,1682104800,4.30,5.00,6.97,7.96,6.97,7.96,85,24.2,1011.04
151502,1681999800,2.50,2.50,3.64,3.56,3.64,3.56,55.2,35.8,1023.036
151502,1681960200,7.10,7.90,17.37,16.69,17.37,16.69,45.4,51.8,1020.778
151502,1681964400,2.80,3.10,5.21,5.26,5.21,5.26,45.4,52.6,1020.764
151502,1682006400,2.40,2.50,3.52,3.37,3.52,3.37,59.6,33.4,1021.114
151502,1681954200,2.20,2.50,3.57,3.77,3.57,3.77,46.6,47,1020.35
151502,1681981200,2.20,2.20,4.07,3.24,4.07,3.24,46,47.2,1022.152
151502,1681948800,3.40,3.60,6.14,5.98,6.14,5.98,47,46.8,1019.202
151502,1681963200,2.50,2.60,4.71,4.37,4.71,4.37,46,52,1020.978
151502,1682008800,2.00,2.30,3.03,3.07,3.03,3.07,62.2,29.6,1020.36
151502,1681973400,2.20,2.20,3.75,3.16,3.75,3.16,46,47,1021.254
151502,1682013600,2.20,2.40,2.95,2.94,2.95,2.94,66.8,26.4,1019.3
151502,1681977600,2.80,2.90,5.25,4.71,5.25,4.71,46,47.6,1021.75
151502,1681968600,2.50,2.50,4.82,3.75,4.82,3.75,46.2,47,1020.948
151502,1681966200,3.40,3.60,6.78,6.42,6.78,6.42,46,52.6,1020.882
151502,1682016000,2.40,2.70,3.18,3.24,3.18,3.24,69.4,26.8,1018.98
151502,1681956000,2.50,2.70,4.45,3.90,4.45,3.90,47,47.2,1020.412
151502,1682005800,2.10,2.50,3.05,3.45,3.05,3.45,58,32.2,1021.446
151502,1682004000,2.70,3.00,3.89,4.35,3.89,4.35,57,34,1022.234
151502,1682014200,2.50,2.60,3.58,3.14,3.58,3.14,66.8,26.2,1019.118
151502,1681972200,2.50,2.60,4.65,4.31,4.65,4.31,46,47,1021.272
151502,1681995600,2.00,2.50,2.82,3.40,2.82,3.40,52.2,39,1023.292
151502,1682021400,2.60,3.00,3.93,4.26,3.93,4.26,70,22.4,1017.974
151502,1681979400,2.60,2.70,4.53,4.70,4.53,4.70,46,47.8,1021.902
151502,1681992000,3.00,3.00,5.05,4.52,5.05,4.52,49.4,43.8,1022.838
151502,1681982400,2.70,2.80,4.88,4.79,4.88,4.79,46,47.8,1021.9
151502,1682034000,4.00,4.20,6.44,6.42,6.44,6.42,67.4,22,1017.072
151502,1681863600,1.20,1.40,1.28,1.43,1.28,1.43,50,50,1008.094
151502,1681881600,0.50,0.50,0.14,0.07,0.14,0.07,47.2,47.6,1011.554
151502,1681921200,1.00,1.00,0.97,0.78,0.97,0.78,49.8,47.8,1015.598
151502,1681918200,1.80,1.80,2.51,2.49,2.51,2.49,50,44.2,1015.416
151502,1681887600,0.70,0.60,0.48,0.22,0.48,0.22,46,47.2,1011.564
151502,1681939800,2.10,2.10,3.09,2.72,3.09,2.72,48,49.8,1017.58
151502,1681943400,3.30,3.60,5.99,6.00,5.99,6.00,47.2,49,1018.058
151502,1681933200,1.10,1.10,1.21,1.22,1.21,1.22,50,44.2,1016.34
151502,1681927200,0.70,0.70,0.50,0.51,0.50,0.51,50.4,45.2,1016.086
151502,1681908600,3.90,4.00,7.14,7.07,7.14,7.07,51,44.8,1013.59
151502,1681919400,0.70,0.70,0.45,0.29,0.45,0.29,46.6,53.8,1015.8
151502,1681888200,0.70,0.80,0.47,0.54,0.47,0.54,46,47.2,1011.586
