sensor_index,time_stamp,pm2.5_alt_a,pm2.5_alt_b,temperature,humidity,pressure
151502,1692307800,4.80,5.60,86.4,51,1008.832
151502,1692298800,3.60,4.50,87,52.2,1009.716
151502,1692312000,5.60,6.10,84.8,53,1008.644
151502,1692276000,4.60,4.70,81,62,1012.744
151502,1692315600,6.30,6.90,81.4,58.8,1008.456
151502,1692311400,5.20,6.00,85,52.6,1008.65
151502,1692286200,2.80,3.30,86,52,1012.118
151502,1692306000,4.70,5.50,86.6,51.4,1008.344
151502,1692283200,3.10,3.60,83,57.4,1012.282
151502,1692313800,5.90,6.60,83,55.8,1008.49
151502,1692288600,2.90,3.40,88.2,51,1011.566
151502,1692291000,3.70,4.20,89,48.2,1010.832
151502,1692292200,3.80,4.50,88.2,49.2,1010.734
151502,1692280800,4.00,4.40,82.4,60,1012.474
151502,1692525000,9.40,10.70,62,67.4,1015.778
151502,1692510600,9.80,10.40,65,63.6,1014.576
151502,1692519600,11.10,12.50,63,66.6,1015.392
151502,1692506400,9.90,10.30,67,59.6,1014.236
151502,1692518400,11.80,12.50,63.8,65.6,1015.398
151502,1692493200,7.40,7.90,76,42.2,1012.998
151502,1692499200,8.60,9.20,70.6,55.2,1013.468
151502,1692512400,10.10,10.90,65,62.6,1014.748
151502,1692520200,10.20,11.40,63,67,1015.398
151502,1692495000,7.90,8.20,73.6,49.6,1013.11
151502,1692497400,8.50,9.40,70.2,55.6,1013.252
151502,1692504600,9.20,10.20,67,60.4,1014.034
151502,1692507600,9.60,10.30,66.8,61.2,1014.3
151502,1692342600,5.10,5.80,76,66,1004.6
151502,1692361800,3.30,3.80,74.8,68.2,1002.382
151502,1692346800,5.10,5.90,75.6,66,1003.452
151502,1692364800,2.90,3.20,78,63.2,1002.966
151502,1692366000,3.40,3.50,79,63.2,1003.24
151502,1692319800,6.50,7.90,79,61,1008.218
151502,1692355200,1.30,1.40,73,70,1004.28
151502,1692322800,7.20,8.20,79.8,62,1008.866
151502,1692340800,5.20,5.90,76,65.4,1005.37
151502,1692331200,6.30,7.30,76.8,67,1006.834
151502,1692322200,7.00,7.80,80,61,1008.942
151502,1692399000,10.90,11.80,76.6,35.2,1005.21
151502,1692369000,3.50,3.80,79.4,59.8,1003.432
151502,1692395400,6.20,6.80,81,32,1004.014
151502,1692350400,1.40,1.70,74.4,67,1004.062
151502,1692351600,1.10,1.10,73.6,68.2,1003.97
151502,1692392400,4.00,4.20,82,35.4,1003.74
151502,1692386400,3.70,3.70,82,40.4,1003.452
151502,1692373200,3.60,3.70,84.8,50.6,1003.162
151502,1692359400,3.30,3.50,73,69,1002.668
151502,1692365400,3.10,3.40,78,63.4,1002.952
151502,1692330600,6.20,7.30,76.8,67,1007.184
151502,1692328800,7.00,7.90,77,67.2,1007.468
151502,1692409800,9.80,11.20,72,47.4,1007.356
151502,1692489000,6.80,7.20,78.8,36,1012.12
151502,1692450600,5.60,6.30,71,59.2,1010.708
151502,1692454200,7.10,7.80,70.8,61.8,1011.3
151502,1692411600,9.40,9.80,71,51,1007.498
151502,1692474600,5.60,6.10,81,37.6,1010.504
151502,1692460800,7.20,7.70,75.6,53.2,1011.554
151502,1692465000,6.30,7.20,78.4,51.6,1011.01
