sensor_index,time_stamp,pm2.5_alt_a,pm2.5_alt_b,temperature,humidity,pressure
151502,1675786800,5.70,6.40,38.6,36.2,1024.196
151502,1675797600,2.20,2.50,46.6,26,1017.422
151502,1675794000,2.80,3.00,46.8,26.4,1020.042
151502,1675786200,6.30,6.50,38,37,1024.57
151502,1675756200,5.00,5.40,28.8,44,1026.138
151502,1675735200,4.10,4.70,33.6,40.6,1023.43
151502,1675781400,7.20,8.10,33.6,42.4,1025.436
151502,1675809000,4.30,4.90,43.6,33.2,1016.076
151502,1675761000,4.80,5.30,28,45,1026.588
151502,1675800600,2.60,2.80,45.8,27,1017.744
151502,1675762200,4.90,5.40,28,45,1026.45
151502,1675774800,7.90,8.80,25.4,51.8,1026.92
151502,1675729800,4.40,5.20,34.4,43,1022.338
151502,1675799400,2.30,2.60,46,26,1017.496
151502,1675798800,2.50,2.50,46,25.8,1017.47
151502,1675729200,4.60,5.30,35,43,1022.12
151502,1675775400,6.90,7.80,26.2,50.4,1027.042
151502,1675728000,5.50,6.20,35.25,43,1021.73
151502,1675810800,6.70,7.00,43.25,35,1017.29
151502,1675768200,5.20,5.90,26,48,1026.756
151502,1675776000,7.20,8.10,26.8,50,1026.806
151502,1675771800,6.10,7.10,24,51.8,1026.82
151502,1675795800,2.60,2.80,46,27,1018.406
151502,1675746600,3.50,3.90,29,39.4,1026.066
151502,1675801800,3.80,3.90,46,28,1018.84
151502,1675909200,6.00,7.10,40,50.25,1023.832
151502,1675924200,7.70,8.70,36,57,1024.108
151502,1675903800,5.30,6.10,42.6,46,1023.076
151502,1675921800,8.80,9.50,36,56,1024.306
151502,1675936200,12.30,12.90,35,55.2,1023.68
151502,1675906800,6.30,6.70,41.4,47.4,1023.346
151502,1675938600,9.90,11.30,35,56.2,1023.49
151502,1675915200,5.90,6.60,38,53,1023.832
151502,1675933800,11.50,13.00,35,55.8,1024.122
151502,1675902600,5.30,6.00,43.2,44.6,1022.778
151502,1675908600,6.10,7.40,39.6,51,1023.588
151502,1675823400,8.70,9.70,41.2,52.6,1015.952
151502,1675876800,4.50,4.60,48.4,39,1019.884
151502,1675880400,5.30,5.70,49,38,1020.682
151502,1675842000,15.40,17.70,44,53.8,1015.408
151502,1675817400,8.30,9.60,40.8,52.6,1017.11
151502,1675836600,13.80,14.90,43.2,53.6,1015.084
151502,1675841400,14.90,17.30,44,53.4,1015.382
151502,1675834800,13.60,15.00,42.6,55,1014.926
151502,1675863000,4.20,4.30,44.6,47.6,1019.458
151502,1675843800,16.10,18.50,45,52.4,1015.686
151502,1675822200,9.00,10.20,41,53,1016.736
151502,1675821000,9.00,10.20,40.8,54,1016.518
151502,1675882200,5.50,6.00,50,37,1020.354
151502,1675885200,4.40,4.70,51,34.6,1020.946
151502,1675852800,18.50,20.10,44,53.6,1016.648
151502,1675845000,16.80,18.30,44.4,52.6,1015.662
151502,1675900200,5.20,6.00,45,42,1022.764
151502,1675881000,5.10,5.60,48.8,38,1020.608
151502,1675824600,9.10,10.00,41,52.6,1015.41
151502,1675882800,5.40,6.20,50,37,1020.492
151502,1675876200,4.70,4.90,48.2,40,1020.108
151502,1675816800,8.50,9.20,41,52,1017.44
151502,1675723200,7.70,8.20,38,45,1020.802
151502,1675689000,9.50,10.70,43,49.8,1015.124
151502,1675714800,8.70,9.90,39.6,46,1018.806
151502,1675692000,9.20,10.30,45,49,1015.94
151502,1675698600,10.20,11.20,45.4,51,1016.902
151502,1675726200,6.40,7.00,35.8,43.8,1021.238
151502,1675693800,8.20,8.70,46,51,1016.277
151502,1675714200,8.70,9.90,40,46.4,1018.698
151502,1675710000,13.80,15.50,43,52,1018.142
151502,1675722600,7.50,8.60,38,45,1020.6
151502,1675726800,5.90,6.00,36,43.8,1021.38
151502,1675710600,13.60,14.70,42,51,1018.214
151502,1675783800,6.70,7.50,37,39,1024.902
151502,1675790400,4.60,4.80,42.8,31.4,1021.706
151502,1675749000,4.00,4.40,28.8,42.2,1026.336
151502,1675743600,5.10,5.60,31,41.8,1025.458
151502,1675796400,2.60,2.80,45.8,26.8,1017.53
151502,1675778400,7.00,7.00,30.8,45.4,1026.092
151502,1675812000,6.80,7.90,43.2,38,1017.026
151502,1675745400,3.50,4.10,29.2,40,1025.854
151502,1675748400,3.80,4.00,28.8,42,1026.356
151502,1675813200,7.30,7.80,42,44,1017.256
151502,1675806600,3.60,4.10,44,31,1016.882
151502,1675770000,5.20,6.30,25,49.75,1026.855
151502,1675747800,3.70,4.10,29,41,1026.255
151502,1675755600,5.10,5.60,29,44,1026.355
151502,1675803600,3.80,4.20,44.2,29,1017.404
151502,1675770600,5.60,6.30,25,50.2,1026.982
