sensor_index,time_stamp,pm2.5_alt,pm2.5_atm,pm2.5_cf_1,temperature,humidity,pressure
166653,1695838800,3.4,4.87,4.866,74,35,988.458
166653,1695666000,16.6,29.87,30.584,66,71,984.448
166653,1695651600,15.3,29.20,29.535,63,68,982.94
166653,1695639600,4.6,7.84,7.837,62,72,980.598
166653,1695811800,3.5,6.79,6.785,47,68,990.424
166653,1695707400,18.5,33.59,35.988,60,64,989.032
166653,1695737400,10.1,18.38,18.375,63,60,992.108
166653,1695690600,20.8,36.96,40.915,59.4,67.8,987.816
166653,1695761400,6.1,10.06,10.056999999999999,72,42.6,989.826
166653,1695729000,8.7,17.21,17.206000000000003,55,72,991.056
166653,1695751200,9.2,15.88,15.875,69.6,45,990.94
166653,1695732000,9.3,17.50,17.499000000000002,59,69.2,991.576
166653,1695862800,3.8,6.50,6.504,56.8,65,988.622
166653,1695852600,4.1,6.48,6.483,67.2,52,987.774
166653,1695838200,3.3,4.92,4.922,74,36.2,988.586
166653,1695823800,3.5,5.77,5.7669999999999995,60.6,65.8,990.668
166653,1695660600,13.7,24.49,24.503999999999998,66,67.6,983.984
166653,1695682800,23,36.78,42.662,64,67,986.84
166653,1695686400,15.9,29.46,29.935000000000002,61.2,66.8,987.38
166653,1695706800,16.5,31.73,32.67,59.8,64.4,989.012
166653,1695748800,10.7,18.48,18.478,69,46.4,991.268
166653,1695798000,5.9,12.09,12.088,48.8,67.8,990.748
166653,1695795000,10.5,23.01,23.405,49,67,991.156
166653,1695779400,5,9.02,9.017,54,66.2,991.076
166653,1695853200,3.8,5.79,5.786,66.2,53,987.854
166653,1695816600,3.3,5.99,5.99,50,71.6,990.596
166653,1695654600,12.9,24.02,24.031,65,66.4,983.364
166653,1695673800,39.8,53.79,73.599,67,61.2,984.92
166653,1695622200,5,8.01,8.007,63,72.6,979.588
166653,1695657000,13.3,24.12,24.134999999999998,66,67,983.422
166653,1695647400,10.5,19.55,19.549,62,69,982.12
166653,1695738000,10.6,19.13,19.125999999999998,63,59,992.086
166653,1695723600,8.9,17.14,17.141,53,69.8,990.064
166653,1695766200,6.2,10.03,10.029,66.8,55,990.184
166653,1695705000,20.3,36.02,39.75,59.6,66,988.906
166653,1695719400,10.2,20.62,20.623,54,69.2,989.38
166653,1695763200,6,9.95,9.949,72,45,989.838
166653,1695747000,11.2,19.62,19.617,67.6,48.8,991.578
166653,1695787200,12.8,26.74,28.14,51,67,991.056
166653,1695778800,5,8.82,8.822,54,66,991.004
166653,1695861600,3.7,6.25,6.252,57,65,988.476
166653,1695856200,3.5,5.43,5.432,61.4,59.2,988.088
166653,1695616200,4.4,6.92,6.917,63,72,979.416
166653,1695807000,3.4,6.60,6.5969999999999995,48,68,990.27
166653,1695801000,4,7.55,7.553,48,68,990.6
166653,1695759000,6.7,11.20,11.2,72,40,989.86
166653,1695739200,10.8,19.69,19.686,64,58,992.102
166653,1695733800,9.3,16.98,16.985,60.6,64.4,991.834
166653,1695696600,22.6,39.44,44.411,58,70,988.742
166653,1695731400,9.4,17.29,17.287999999999997,58,70.6,991.364
166653,1695724200,8.9,18.40,18.398,53,69.8,990.22
166653,1695691200,24.6,40.62,48.224999999999994,59,68.2,987.836
166653,1695847200,3.5,5.04,5.043,74,34.8,987.462
166653,1695826800,3.4,5.08,5.077999999999999,63.6,55.6,990.57
166653,1695825000,3.7,6.10,6.101,62,62.8,990.834
166653,1695633600,4.5,7.44,7.438000000000001,62,72,979.84
166653,1695638400,5.5,9.52,9.524999999999999,62,72,980.478
166653,1695653400,15.1,27.82,27.982,64.4,65,983.124
166653,1695643800,5.5,9.10,9.097000000000001,62,72,981.734
166653,1695815400,3.6,6.72,6.720000000000001,48.6,69.6,990.708
166653,1695802200,3.6,7.01,7.0120000000000005,48,68,990.53
166653,1695770400,7.8,14.49,14.487,61,64,990.402
166653,1695704400,17.5,32.87,34.171,59.2,66.2,988.86
166653,1695702600,23.5,40.21,47.073,59,68,988.77
166653,1695688200,17.6,32.88,34.424,60,67.2,987.848
166653,1695773400,6.3,11.87,11.871,58,65,990.58
166653,1695829800,3.3,4.92,4.9239999999999995,67.2,45.2,990.248
166653,1695625800,4.9,8.28,8.281,63,72,979.334
166653,1695605400,4.4,6.96,6.959,64,72,980.628
166653,1695709800,14.9,28.86,29.191000000000003,59,64.6,989.108
166653,1695750600,10.1,17.46,17.456000000000003,69,46,990.996
166653,1695751800,8.6,14.91,14.91,70,43.6,990.822
166653,1695703800,19.6,35.37,38.242000000000004,59,67,988.848
166653,1695712800,14.7,29.36,29.877000000000002,57,68,989.17
166653,1695824400,3.6,5.70,5.701,61.2,63.2,990.762
166653,1695811200,3.4,6.46,6.457,47,68,990.406
166653,1695620400,5,8.17,8.17,63,72,979.68
166653,1695627600,4.8,8.03,8.029,63,72,979.508
166653,1695678000,13.5,24.03,24.034,66,64.6,985.766
166653,1695672000,23.5,35.58,43.760999999999996,67.4,62.8,984.728
166653,1695635400,3.8,6.00,6.002,62,72,980.032
166653,1695624600,5.7,9.57,9.57,63,72.2,979.372
166653,1695813600,3.3,6.28,6.284,47.8,68.8,990.618
