id,time_stamp,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b,temperature,humidity,pressure
166653,1699400400,0.80,0.40,0.53,0.11,0.53,0.11,54,54.8,971.704
166653,1699339800,16.80,16.30,31.63,32.04,34.99,34.66,51.6,74.6,971.738
166653,1699366200,14.30,14.10,27.47,27.04,27.51,27.04,58.4,69,968.136
166653,1699399800,0.80,0.50,0.67,0.19,0.67,0.19,53.8,55,971.506
166653,1699359000,15.30,15.80,30.32,30.84,30.57,30.93,55,72,968.442
166653,1699362000,15.00,15.50,29.15,30.92,29.30,31.03,55,72.6,968.258
166653,1699474800,0.80,0.50,0.66,0.22,0.66,0.22,42.8,39.8,980.036
166653,1699486800,1.10,0.80,1.19,0.66,1.19,0.66,41,48.8,981.192
166653,1699414800,1.50,1.20,2.03,1.39,2.03,1.39,48,61,973.534
166653,1699404000,0.80,0.60,0.74,0.34,0.74,0.34,51,58.8,971.964
166653,1699429200,0.60,0.50,0.14,0.13,0.14,0.13,40.5,57,975.945
166653,1699405200,0.80,0.60,0.76,0.14,0.76,0.14,50,60,972.304
166653,1699393800,0.90,1.10,1.08,0.93,1.08,0.93,56,55,970.316
166653,1699365600,14.80,13.90,27.82,26.97,27.90,26.97,58.6,69.8,968.198
166653,1699361400,15.50,15.70,30.07,31.04,30.34,31.14,55,72.8,968.246
166653,1699473000,0.80,0.80,0.76,0.56,0.76,0.56,43.4,39.4,979.832
166653,1699481400,0.90,0.60,0.81,0.42,0.81,0.42,41.4,43.8,980.5
166653,1699451400,0.70,0.40,0.46,0.06,0.46,0.06,35.4,50,980.412
166653,1699458600,0.60,0.50,0.41,0.25,0.41,0.25,39.2,44.4,980.768
166653,1699437600,1.40,1.20,1.94,1.33,1.94,1.33,37,57,977.982
166653,1699449600,0.70,0.60,0.44,0.29,0.44,0.29,35,51,980.432
166653,1699332600,6.70,6.70,12.00,12.94,12.00,12.94,50.2,73,973.846
166653,1699350000,14.60,14.90,28.65,29.95,28.85,29.99,54,75,969.298
166653,1699379400,12.20,11.20,21.48,19.09,21.48,19.09,65,55,966.27
166653,1699364400,14.50,14.10,27.21,27.54,27.25,27.54,57,71,968.346
166653,1699331400,6.30,6.90,11.97,14.20,11.97,14.20,50.2,73.2,973.838
166653,1699377600,12.60,11.50,22.31,20.38,22.31,20.38,65,56,966.29
166653,1699478400,2.00,1.80,2.95,3.03,2.95,3.03,42.2,41.6,980.69
166653,1699473600,0.80,0.60,0.64,0.33,0.64,0.33,43,39.8,979.874
166653,1699471200,0.80,0.50,0.59,0.41,0.59,0.41,43.4,39,980.168
166653,1699453200,0.60,0.40,0.28,0.07,0.28,0.07,36.2,49,980.392
166653,1699426200,0.50,0.30,0.22,0.01,0.22,0.01,42,57,975.182
166653,1699337400,10.30,10.50,19.79,21.44,19.99,21.54,50.8,74.2,972.286
166653,1699390200,2.50,2.20,3.53,3.09,3.53,3.09,58,58,969.048
166653,1699378800,11.90,11.00,21.02,19.29,21.02,19.29,65,55,966.238
166653,1699384800,5.80,5.10,9.88,8.63,9.88,8.63,61,56,967.47
166653,1699385400,5.10,4.50,8.23,7.37,8.23,7.37,60.2,56,967.624
166653,1699377000,12.10,11.70,21.07,20.70,21.07,20.70,65,56.6,966.374
166653,1699474200,0.80,0.70,0.55,0.43,0.55,0.43,43,39.6,979.998
166653,1699442400,1.60,1.60,2.25,1.97,2.25,1.97,36,55.8,978.814
166653,1699437000,1.40,1.20,1.78,1.34,1.78,1.34,36.6,57,977.718
166653,1699433400,1.30,1.00,1.49,1.01,1.49,1.01,38.6,57,976.922
166653,1699428600,0.60,0.40,0.34,0.12,0.34,0.12,41.2,57.2,975.77
166653,1699422000,0.50,0.30,0.27,0.04,0.27,0.04,45.6,62,974.31
166653,1699374600,12.30,11.60,21.76,19.92,21.76,19.92,65.6,56.4,966.628
166653,1699465200,0.90,0.50,0.75,0.25,0.75,0.25,42,41,980.31
166653,1699461600,0.70,0.50,0.40,0.18,0.40,0.18,41,43,981.3
166653,1699440600,1.50,1.30,1.94,1.46,1.94,1.46,36,56,978.562
166653,1699405800,0.90,0.70,0.78,0.54,0.78,0.54,49.8,60.4,972.388
166653,1699488000,1.10,1.00,1.30,1.01,1.30,1.01,40,50.2,981.134
166653,1699422600,0.30,0.30,0.09,0.00,0.09,0.00,45.6,62,974.274
166653,1699335000,13.40,13.10,27.03,27.21,28.20,28.43,50.6,73,972.924
166653,1699381800,12.00,10.70,20.85,18.66,20.85,18.66,65.4,53.8,966.404
166653,1699485000,1.00,0.70,0.95,0.47,0.95,0.47,41,46.8,981.106
166653,1699483200,1.20,0.90,1.46,0.90,1.46,0.90,40.8,46,980.77
166653,1699450200,0.60,0.50,0.39,0.25,0.39,0.25,35,50.8,980.566
166653,1699447800,1.30,1.10,1.70,1.67,1.70,1.67,35,54,980.324
166653,1699420800,0.80,0.60,0.64,0.48,0.64,0.48,46,62.4,974.212
166653,1699407000,1.20,0.90,1.26,0.87,1.26,0.87,49,61,972.706
166653,1699360800,16.10,16.00,30.63,32.17,31.15,32.39,55.2,72.8,968.3
166653,1699329600,7.00,6.90,13.00,14.14,13.00,14.14,50.4,72.8,974.308
166653,1699351800,14.90,14.80,29.52,30.37,29.65,30.45,55,73.2,969.174
166653,1699384200,8.40,7.00,13.83,12.15,13.83,12.15,61.6,56,967.322
166653,1699469400,0.80,0.50,0.54,0.14,0.54,0.14,43.4,39,980.162
166653,1699435800,1.20,1.20,1.39,1.34,1.40,1.34,37.2,57,977.464
166653,1699416000,1.20,1.00,1.28,0.94,1.28,0.94,47.4,61.2,973.532
166653,1699430400,0.80,0.50,0.68,0.12,0.68,0.12,39.2,55.8,976.304
166653,1699426800,0.50,0.30,0.27,0.02,0.27,0.02,42,56.8,975.252
166653,1699372800,12.90,11.90,22.84,21.51,22.84,21.51,64.2,59.4,966.922
166653,1699353600,15.30,15.10,29.45,30.25,29.69,30.33,55,73,968.936
166653,1699368000,14.20,13.30,25.72,25.32,25.77,25.32,59.8,68,967.69
166653,1699484400,1.20,0.70,1.33,0.64,1.33,0.64,41,46,981.16
166653,1699413000,1.50,1.30,1.79,1.36,1.79,1.36,48.4,61.2,973.452
166653,1699403400,0.60,0.50,0.48,0.26,0.48,0.26,51.4,57.8,972.018
166653,1699341000,13.10,13.30,26.19,27.75,26.26,27.80,52,74.2,971.332
166653,1699395600,1.10,0.80,1.06,0.56,1.06,0.56,55.6,54,970.844
166653,1699387800,3.60,3.10,5.72,4.78,5.72,4.78,59,57.2,968.396
166653,1699348200,13.50,13.60,26.81,27.46,26.88,27.47,54,74.8,969.602
166653,1699347000,12.60,13.00,25.92,26.25,25.93,26.25,53.6,74.6,969.856
166653,1699392600,1.20,2.10,1.35,2.48,1.35,2.48,56.6,55.4,969.84
166653,1699446600,1.80,1.30,2.81,1.95,2.81,1.95,35,54.4,979.972
166653,1699471800,0.80,0.70,0.76,0.45,0.76,0.45,44,39,980.11
166653,1699339200,12.50,12.30,24.44,24.97,24.74,25.28,51.4,74.6,972.06
166653,1699373400,12.70,11.60,22.34,19.94,22.34,19.94,65,59,966.826
166653,1699475400,0.80,0.50,0.68,0.23,0.68,0.23,43,40,980.04
166653,1699470000,0.70,0.60,0.48,0.24,0.48,0.24,43.6,39,980.01
166653,1699419000,0.60,0.40,0.34,0.06,0.34,0.06,46.4,62,974.032
166653,1699458000,0.70,0.50,0.22,0.14,0.22,0.14,39,45,980.708
166653,1699411800,1.40,1.20,1.69,1.39,1.69,1.39,48.8,61.2,973.406
166653,1699441800,1.60,1.40,2.24,2.03,2.24,2.03,36,55.8,978.768
166653,1699488600,1.00,0.90,1.07,0.87,1.07,0.87,40,50.4,981.072
166653,1699409400,1.80,1.50,2.27,1.73,2.27,1.73,49,61.4,973.232
166653,1699341600,13.40,13.10,26.58,27.06,26.60,27.06,52.2,74.2,971.132
166653,1699378200,12.60,11.60,22.22,19.99,22.22,19.99,65,55.2,966.22
166653,1699362600,15.30,15.40,29.70,30.94,29.94,31.10,55.8,72.4,968.262
166653,1699438800,1.50,1.20,1.73,1.35,1.73,1.35,36.6,56.8,978.386
166653,1699455000,0.60,0.50,0.32,0.11,0.32,0.11,37,47,980.156
166653,1699439400,1.50,1.20,1.92,1.58,1.92,1.58,36.2,57,978.348
166653,1699367400,14.90,13.60,26.82,26.19,26.92,26.19,59,68.8,967.826
166653,1699344600,12.90,13.00,26.55,27.45,26.56,27.45,52.8,74.6,970.202
166653,1699372200,13.20,12.60,24.32,22.53,24.37,22.53,63.8,60.8,967.136
166653,1699365000,14.80,14.30,28.19,27.77,28.37,27.78,58,70.4,968.302
166653,1699470600,0.70,0.60,0.40,0.18,0.40,0.18,43.2,39,979.98
166653,1699457400,0.70,0.40,0.39,0.06,0.39,0.06,38.8,45.6,980.488
166653,1699463400,0.80,0.60,0.49,0.30,0.49,0.30,42.2,41.6,980.724
166653,1699413600,1.70,1.20,2.22,1.39,2.22,1.39,48,61,973.496
166653,1699418400,0.60,0.40,0.34,0.11,0.34,0.11,46.6,62.2,973.918
166653,1699427400,0.40,0.40,0.11,0.04,0.11,0.04,41.8,56.6,975.668
166653,1699375800,12.30,11.20,21.47,19.47,21.47,19.47,65,55.2,966.48
