time_stamp,humidity,temperature,pressure,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2024-12-28T00:00:00Z,53.3,26.966,1029.197,18.9,20.5,47.856,47.682,50.705,50.752
2024-12-28T01:00:00Z,54.3,28.367,1028.733,19.3,20.9,47.283,47.277,50.376,50.644
2024-12-28T02:00:00Z,54.166,27.8,1028.627,18.9,19.9,47.041,46.118,49.761,48.572
2024-12-28T03:00:00Z,55.067,27.7,1027.685,19.4,20.4,48.115,46.589,51.416,49.344
2024-12-28T04:00:00Z,55.8,28,1027.347,19.3,20.4,47.648,46.843,50.887,49.936
2024-12-28T05:00:00Z,55.5,28.9,1027.01,20.3,22.1,48.671,48.834,52.898,53.531
2024-12-28T06:00:00Z,54.466,29.966,1026.601,23,25.3,52.641,52.619,60.005,60.302
2024-12-28T07:00:00Z,55.034,31.767,1026.839,25.4,27.9,54.705,54.972,64.365,65.376
2024-12-28T08:00:00Z,55.367,31.934,1025.821,25.1,27.6,54.164,54.142,63.597,63.954
2024-12-28T09:00:00Z,56.067,32.8,1025.189,26.6,29.1,55.726,55.695,66.933,67.352
2024-12-28T10:00:00Z,57,32.533,1024.853,26.6,28.9,55.637,55.648,66.754,67.324
2024-12-28T11:00:00Z,57.4,32.233,1024.749,26.5,28.9,55.808,55.651,66.966,67.215
2024-12-28T12:00:00Z,57.6,33.067,1024.816,26.7,29.2,55.623,55.437,66.846,67.129
2024-12-28T13:00:00Z,57,34.133,1024.882,27.2,29.8,55.618,55.818,67.255,68.189
2024-12-28T14:00:00Z,56.234,35.533,1025.099,28.5,31.4,56.005,56.308,69.029,70.309
2024-12-28T15:00:00Z,56.633,37.133,1024.894,28.8,32.6,55.483,56.347,69.007,71.545
2024-12-28T16:00:00Z,56.267,38.034,1024.096,29.7,33.7,55.267,56.511,69.467,72.99
2024-12-28T17:00:00Z,56.067,39.867,1023.085,30.7,34.3,55.215,56.155,70.412,73.25
2024-12-28T18:00:00Z,53.9,42.533,1022.353,31.2,34.2,53.952,54.35,69.267,70.656
2024-12-28T19:00:00Z,53.367,43.767,1022.031,31.2,33.8,53.034,53.12,67.885,68.575
2024-12-28T20:00:00Z,56.166,42.033,1022.685,29.4,32.6,52.402,52.901,65.493,67.004
2024-12-28T21:00:00Z,58.7,41.133,1022.721,28.1,31.1,51.593,51.969,63.203,64.47
2024-12-28T22:00:00Z,60.3,40.7,1022.879,26.7,29.2,50.113,50.251,60.01,60.669
2024-12-28T23:00:00Z,61,40.1,1023.13,25.4,27.8,48.745,48.847,57.173,57.739
2024-12-29T00:00:00Z,61.5,39.966,1022.914,23.9,26.1,46.846,47.228,53.691,54.656
2024-12-29T01:00:00Z,62,40,1023.097,25.7,28.3,49.404,49.409,58.332,58.793
2024-12-29T02:00:00Z,62.767,39.966,1022.965,26.7,29.7,51.035,51.422,61.267,62.559
2024-12-29T03:00:00Z,64.466,39.867,1022.846,28.7,31.9,53.444,54.085,66.196,68.048
2024-12-29T04:00:00Z,65,39.9,1022.77,31.4,35,56.763,56.971,73.995,75.234
2024-12-29T05:00:00Z,65,39.834,1022.485,30.1,33.7,55.508,56.021,71.12,72.828
2024-12-29T06:00:00Z,65,39.867,1022.605,28.3,31.8,54.371,54.813,68.142,69.659
2024-12-29T07:00:00Z,65,39.433,1022.583,27.2,30.9,53.313,54.046,65.833,67.878
2024-12-29T08:00:00Z,65.334,39.4,1022.654,26.2,29.7,51.949,52.651,63.029,64.983
2024-12-29T09:00:00Z,65.566,39.834,1022.319,25.8,29.2,51.425,52.3,61.938,64.12
2024-12-29T10:00:00Z,65.966,39.333,1022.014,24.4,27.3,49.639,50.132,58.388,59.718
2024-12-29T11:00:00Z,65.733,39.966,1021.712,23.7,26.5,48.41,48.712,56.233,57.193
2024-12-29T12:00:00Z,66,39.966,1020.891,23.5,26.6,48.242,48.915,55.921,57.571
2024-12-29T13:00:00Z,66,40.4,1020.78,23.3,26.2,47.597,47.934,55.061,56.016
2024-12-29T14:00:00Z,65.834,40.9,1020.386,21.2,23.8,44.115,44.592,49.282,50.244
2024-12-29T15:00:00Z,66,41.666,1019.477,17.3,19.6,37.576,38.088,39.334,40.049
2024-12-29T16:00:00Z,66,42.133,1017.89,13.6,15.2,29.163,30.45,29.175,30.479
2024-12-29T17:00:00Z,66,43.166,1016.111,12.7,14.7,26.577,28.672,26.577,28.675
2024-12-29T18:00:00Z,66.8,43.767,1014.782,11.1,13.1,22.83,24.654,22.83,24.654
2024-12-29T19:00:00Z,67,44.6,1013.931,9.5,10.4,18.457,19.207,18.457,19.207
2024-12-29T20:00:00Z,67.233,44.467,1013.212,8.5,9.4,16.094,17.105,16.094,17.105
2024-12-29T21:00:00Z,67.934,44.666,1012.233,8.4,9.3,15.575,16.889,15.575,16.889
2024-12-29T22:00:00Z,67.367,43.666,1010.987,8.8,9.9,16.623,18.197,16.623,18.197
2024-12-29T23:00:00Z,68,42.534,1010.19,9.1,10.2,17.669,18.965,17.669,18.965
2024-12-30T00:00:00Z,68.966,42.5,1008.968,7.6,8.5,14.606,15.724,14.606,15.724
